iso3,country,name,position,start_year,end_year,status,source_scraped,source_dataset,dataset_url
AOA,Angola,Antonio Inacio,President / Governor,1989,1990,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Cunha Neto,President / Governor,1990,1990,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Fernando Teixeira,President / Governor,1990,1992,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Sebastiao Lavrador (first term),President / Governor,1992,1993,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Generoso Almeida,President / Governor,1993,1995,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Antonio Furtado,President / Governor,1995,1996,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Sebastiao Lavrador,President / Governor,1996,1999,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Aguinaldo Jaime,President / Governor,1999,2002,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Amadeu Mauricio,President / Governor,2002,2009,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Abrahao Gourgel,President / Governor,2009,2010,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Jose de Lima Massano (first term),President / Governor,2010,2015,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Jose Pedro de Morais,President / Governor,2015,2016,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Walter Filipe,President / Governor,2016,2017,Histórico,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AOA,Angola,Jose de Lima Massano,President / Governor,2017,En cargo,Actual,http://www.bna.ao/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Egidio Iannella,President / Governor,1969,1970,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Daniel Fernandez,President / Governor,1970,1971,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Ricardo Gruneisen,President / Governor,1971,1971,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Carlos Brignone,President / Governor,1971,1972,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Jorge Bermudez Emparanza,President / Governor,1972,1973,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Alfredo Gomez Morales,President / Governor,1973,1974,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Hernan Aldabe,President / Governor,1974,1974,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Ricardo A. Cairoli,President / Governor,1974,1975,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Emilio Mondelli,President / Governor,1975,1976,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Eduardo A. Zalduendo,President / Governor,1976,1976,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Alfredo G. Cassino,President / Governor,1976,1976,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Adolfo C. Diz,President / Governor,1976,1981,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Julio Jose Gomez,President / Governor,1981,1981,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Egidio Ianella,President / Governor,1981,1982,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Domingo Felipe Cavallo,President / Governor,1982,1982,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
