country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Angola;National Bank of Angola;Jose de Lima Massano;President / Governor;2017;En cargo;kof;kof_workbook_governors_v2023;https://www.bna.ao;AGO
Argentina;Central Bank of Argentina;Egidio Iannella;President / Governor;1969;1970;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Daniel Fernandez;President / Governor;1970;1971;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Carlos Brignone;President / Governor;1971;1972;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Ricardo Gruneisen;President / Governor;1971;1971;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Jorge Bermudez Emparanza;President / Governor;1972;1973;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Alfredo Gomez Morales;President / Governor;1973;1974;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Hernan Aldabe;President / Governor;1974;1974;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Ricardo A. Cairoli;President / Governor;1974;1975;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Emilio Mondelli;President / Governor;1975;1976;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Adolfo C. Diz;President / Governor;1976;1981;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Alfredo G. Cassino;President / Governor;1976;1976;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Eduardo A. Zalduendo;President / Governor;1976;1976;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Egidio Ianella;President / Governor;1981;1982;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Julio Jose Gomez;President / Governor;1981;1981;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Domingo Felipe Cavallo;President / Governor;1982;1982;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Julio C. Gonzalez del Solar;President / Governor;1982;1983;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Enrique Garcia Vazquez;President / Governor;1983;1985;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Juan Jose A. Concepcion;President / Governor;1985;1986;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Jose Luis Machinea;President / Governor;1986;1989;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Egidio Ianella;President / Governor;1989;1989;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Enrique Garcia Vazquez;President / Governor;1989;1989;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Javier A. Gonzalez Fraga;President / Governor;1989;1989;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Rodolfo C. Rossi;President / Governor;1989;1990;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Antonio Erman Gonzalez;President / Governor;1990;1990;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Enrique E. Folcini;President / Governor;1990;1990;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Javier A. Gonzalez Fraga;President / Governor;1990;1991;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Roque Benjamin Fernandez;President / Governor;1991;1996;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Pedro Pou;President / Governor;1996;2001;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Roque Maccarone;President / Governor;2001;2002;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Aldo Ruben Pignanelli;President / Governor;2002;2002;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Alfonso Prat Gay;President / Governor;2002;2004;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Mario Blejer;President / Governor;2002;2002;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Martin Redrado;President / Governor;2004;2010;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Mercedes Marco del Pont;President / Governor;2010;2013;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Juan Carlos Fabrega;President / Governor;2013;2014;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
