iso3,name
ARM,Martin Galstyan
ARM,Martin Sahakyan
ARM,Nerses Yeritsyan
ARM,Nikolai Sannikov
ARM,Oleg Aghasyan
ARM,Riza Velibekov
ARM,Ruben L. Valesyan
ARM,Sergey Baturi
ARM,Stepan Safaryan
ARM,Tigran Sargsyan
ARM,Vache Gabrielyan
ARM,Vakhtang Abrahamyan
ARM,Vardan Mamikonyan
ARM,Vardan Movsesyan
ARM,Vladimir Aghasyan
ARM,Vladislav Moravski
AUS,A.P. Payan
AUS,Alan Jackson
AUS,Alison Watkins
AUS,Allan Moss
AUS,Andrew Charlton
AUS,Andrew Hauser
AUS,BW Fraser
AUS,Brad Banducci
AUS,Bruce Preston
AUS,Carol Louise Schwartz AO
AUS,Carolyn Hewson
AUS,Catherine Tanna
AUS,David Clarke
AUS,Donald McGauchie
AUS,Elana Rubin
AUS,Frank Lowy
AUS,Glenn Stevens
AUS,Graham Kraehe
AUS,Guy Debelle
AUS,HM Knight
AUS,Heather Ridout
AUS,Herbert Coombs
AUS,Hugh Morgan
AUS,IJ Macfarlane
AUS,Iain Ross
AUS,Ian Harper
AUS,JG Phillips
AUS,Jillian Broadbent
AUS,John Akehurst
AUS,John Edwards
AUS,Kathryn Fagg
AUS,Michele Bullock
AUS,Philip Lowe
AUS,RA Johnston
AUS,Ric Battellino
AUS,Richard Warburton
AUS,Robert Gerard
AUS,Roger Corbett
AUS,Warwick Hunt
AUS,Warwick McKibbin
AUT,Adolf Wala
AUT,Bettina Dorfer‑Pauschenwein
AUT,Claus Raidl
AUT,Dr. Hans Kloss
AUT,Dr. Helmuth Klauhs
AUT,Dr. Klaus Liebscher
AUT,Dr. Maria Schaumayer
AUT,Dr. Wolfgang Schmitz
AUT,Eugen Kaniak
AUT,Eugen Margarétha
AUT,Ewald Nowotny
AUT,Gertrude Tumpel-Gugerell
AUT,Gottfried Haber
AUT,Hans Rizzi
AUT,Harald Mahrer
AUT,Herbert Schimetschek
AUT,Ingrid Reischl
AUT,Johannes Hahn
AUT,Martin Kocher
AUT,Reinhard Kamitz
AUT,Richard Reisch
AUT,Robert Holzmann
AUT,Stephan Koren
AUT,Viktor Kienböck
AZE,Alim Guliyev
AZE,Cavanşir Abdullayev
AZE,Elman Rustamov
AZE,Qalib Ağayev
AZE,Taleh Kazimov
BDI,Aloys Ntahonkiriye
BDI,Bonaventure Kidwingira
BDI,Elisee Ntahonikora
BDI,Gabriel Ntisezerana
BDI,Gaspard Sindayigaya
BDI,Greogiore Bayiyezako
BDI,Grégoire Banyiyezako
BDI,Isaac Bizimana
BDI,Isaac Budabuda
BDI,Jean Ciza
BDI,Mathias Sinamenye
BDI,Salvator Toyi
BDI,Édouard Normand Bigendako
BEL,Baron Cecil de Strycker
BEL,Baron Jean Godeaux
BEL,Bernard Jurion
BEL,Carl Devlies
BEL,Cedric Frère
BEL,Christian Van Thillo
BEL,Christine Mahy
BEL,Christl Joris
BEL,Claire Tillekaerts
BEL,Danny Assche
BEL,Didier Matray
BEL,Dimitri Lhoste
BEL,Eddy Varmoesen
BEL,Edwin De Boeck
BEL,Eric Mathay
BEL,Estelle Cantillo
BEL,Fabienne Bister
BEL,Gerald Frère
BEL,Gilles Vandorpe
BEL,Gregoire Koutentakis
BEL,Guy Haaze
BEL,Guy Quaden
BEL,Géraldine Van der Stichele
BEL,Hans Dhondt
BEL,Hubert Ansiaux
BEL,Jan Smets
BEL,Jan Vercamst
BEL,Jean Eylenbosch
BEL,Jean Francois Cats
BEL,Jean Louis Six
BEL,Jo Swyngedouw
