PName_original,PName,iso3,first,last,iso3Birth,Start_year,End_year,Start_month,End_month,Position,Sex,Birth_year,Education,BA_or_MA,MBA,PhD,CountryBirth,CityBirth,name
Samiullah Ibrahimi,Samiullah Ibrahimi,AFG,samiullah,ibrahimi,AFG,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Samiullah Ibrahimi
Abdul Ghani Ghawasi,Abdul Ghawasi,AFG,abdul,ghawasi,AFG,,,,,Board member,0.0,,,,,,,,Abdul Ghawasi
Noorullah Delwari,Noorullah Delwari,AFG,noorullah,delwari,AFG,,,,,President / Governor,0.0,,,,,,,,Noorullah Delwari
Khan Afzal Hadawal,Khan Hadawal,AFG,khan,hadawal,AFG,,,,,President / Governor,0.0,,,,,,,,Khan Hadawal
Khan Afzal Hadawal,Khan Hadawal,AFG,khan,hadawal,AFG,,,,,President / Governor,0.0,,,,,,,,Khan Hadawal
Mohammad Osmani,Mohammad Osmani,AFG,mohammad,osmani,AFG,,,,,Board member,0.0,,,,,,,,Mohammad Osmani
Shakir Jalali,Shakir Jalali,AFG,shakir,jalali,AFG,,,,,President / Governor,0.0,,,,,,,,Shakir Jalali
Gaspar Martins,Gaspar Martins,AGO,gaspar,martins,AGO,,,,,President / Governor,0.0,,,,,,,,Gaspar Martins
Aguinaldo Jaime,Aguinaldo Jaime,AGO,aguinaldo,jaime,AGO,,,,,President / Governor,0.0,,,,,,,,Aguinaldo Jaime
José Pedro de Morais Júnior,Jose Morais,AGO,jose,morais,AGO,,,,,President / Governor,0.0,,,,,,,,Jose Morais
Gualberto Lima Campos,Gualberto Campos,AGO,gualberto,campos,AGO,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Gualberto Campos
Manuel Piedad dos Santos Junior,Manuel Junior,AGO,manuel,junior,AGO,,,,,Board member,0.0,,,,,,,,Manuel Junior
Jose Lima Massano,Jose Massano,AGO,jose,massano,AGO,,,,,President / Governor,0.0,,,,,,,,Jose Massano
Ricardo Abreu,Ricardo Abreu,AGO,ricardo,abreu,AGO,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Ricardo Abreu
Manuel António Tiago Dias,Manuel Dias,AGO,manuel,dias,AGO,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Manuel Dias
Manuel António Tiago Dias,Manuel Dias,AGO,manuel,dias,AGO,,,,,Board member,0.0,,,,,,,,Manuel Dias
Ricardo Daniel Queirós SandàoViegas D’Abreu,Ricardo Dabreu,AGO,ricardo,dabreu,AGO,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Ricardo Dabreu
José de Lima Massano,Jose Massano,AGO,jose,massano,AGO,,,,,President / Governor,0.0,,,,,,,,Jose Massano
Valter Filipe Duarte da Silva,Valter Silva,AGO,valter,silva,AGO,,,,,President / Governor,0.0,,,,,,,,Valter Silva
José F. Leitao de Carvalho,Jose Carvalho,AGO,jose,carvalho,AGO,,,,,President / Governor,0.0,,,,,,,,Jose Carvalho
Augusto Teixeira de Matos,Augusto Matos,AGO,augusto,matos,AGO,,,,,President / Governor,0.0,,,,,,,,Augusto Matos
António Inácio,Antonio Inacio,AGO,antonio,inacio,AGO,,,,,President / Governor,0.0,,,,,,,,Antonio Inacio
Pedro Cunha Neto,Pedro Neto,AGO,pedro,neto,AGO,,,,,President / Governor,0.0,,,,,,,,Pedro Neto
Sebastião Bastos Lavrador,Sebastiao Lavrador,AGO,sebastiao,lavrador,AGO,,,,,President / Governor,0.0,,,,,,,,Sebastiao Lavrador
Generoso Hermenegildo de Almeida,Generoso Almeida,AGO,generoso,almeida,AGO,,,,,President / Governor,0.0,,,,,,,,Generoso Almeida
António Gomes Furtado,Antonio Furtado,AGO,antonio,furtado,AGO,,,,,President / Governor,0.0,,,,,,,,Antonio Furtado
Sebastião Bastos Lavrador,Sebastiao Lavrador,AGO,sebastiao,lavrador,AGO,,,,,President / Governor,0.0,,,,,,,,Sebastiao Lavrador
Celestino Eliseu Kanda,Celestino Kanda,AGO,celestino,kanda,AGO,,,,,President / Governor,0.0,,,,,,,,Celestino Kanda
Marinela Amaral,Marinela Amaral,AGO,marinela,amaral,AGO,,,,,Board member,1.0,,,,,,,,Marinela Amaral
Amadeu de Jesus Castelhano Maurício,Amadeu Mauricio,AGO,amadeu,mauricio,AGO,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Amadeu Mauricio
Rui Miguen de Oliveira,Rui Oliveira,AGO,rui,oliveira,AGO,,,,,Board member,0.0,,,,,,,,Rui Oliveira
Abrahão Pio dos Santos Gourgel,Abrahao Gourgel,AGO,abrahao,gourgel,AGO,,,,,President / Governor,0.0,,,,,,,,Abrahao Gourgel
Walter Silva,Walter Silva,AGO,walter,silva,AGO,,,,,Board member,0.0,,,,,,,,Walter Silva
Suzana Monteiro,Suzana Monteiro,AGO,suzana,monteiro,AGO,,,,,Board member,1.0,,,,,,,,Suzana Monteiro
Kostandin Boshnjaku,Kostandin Boshnjaku,ALB,kostandin,boshnjaku,ALB,,,,,President / Governor,0.0,,,,,,,,Kostandin Boshnjaku
Spiro Bakalli,Spiro Bakalli,ALB,spiro,bakalli,ALB,,,,,President / Governor,0.0,,,,,,,,Spiro Bakalli
