PName_original,PName,iso3,first,last,iso3Birth,Start_year,End_year,Start_month,End_month,Position,Sex,Birth_year,Education,BA_or_MA,MBA,PhD,CountryBirth,CityBirth,name
Christian Noyer,Christian Noyer,FRA,christian,noyer,FRA,,,,,President / Governor,0.0,,,,,,,,Christian Noyer
Anne Le Lorier,Anne Lorier,FRA,anne,lorier,FRA,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Anne Lorier
Gilles Savary,Gilles Savary,FRA,gilles,savary,FRA,,,,,Board member,0.0,,,,,,,,Gilles Savary
Cristina Lagarde,Cristina Lagarde,FRA,cristina,lagarde,FRA,,,,,Board member,1.0,,,,,,,,Cristina Lagarde
Robert Ophle,Robert Ophle,FRA,robert,ophle,FRA,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Robert Ophle
Christine Lagarde,Christine Lagarde,FRA,christine,lagarde,EST,,,,,Board member,1.0,,,,,,,,Christine Lagarde
Robert Ophèle,Robert Ophele,FRA,robert,ophele,FRA,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Robert Ophele
Francois Villeroy de Galhau,Franois Galhau,FRA,franois,galhau,FRA,,,,,President / Governor,0.0,,,,,,,,Franois Galhau
Denis Beau,Denis Beau,FRA,denis,beau,FRA,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Denis Beau
Denis Beau,Denis Beau,FRA,denis,beau,FRA,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Denis Beau
Sylvie Goulard,Sylvie Goulard,FRA,sylvie,goulard,FRA,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Sylvie Goulard
Agnès Bénassy-Quéré,Agns Bnassyqur,FRA,agns,bnassyqur,FRA,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Agns Bnassyqur
Benot Cur,Benot Cur,FRA,benot,cur,FRA,,,,,Board member,0.0,,,,,,,,Benot Cur
Alene Tchourumoff,Alene Tchourumoff,FRA,alene,tchourumoff,FRA,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Alene Tchourumoff
Christian Joudiou,Christian Joudiou,FRA,christian,joudiou,FRA,,,,,President / Governor,0.0,,,,,,,,Christian Joudiou
* Mamalepot,* Mamalepot,GAB,*,mamalepot,GAB,,,,,President / Governor,0.0,,,,,,,,* Mamalepot
* Oyemba,* Oyemba,GAB,*,oyemba,GAB,,,,,President / Governor,0.0,,,,,,,,* Oyemba
Philibert Andzembe,Philibert Andzembe,GAB,philibert,andzembe,GAB,,,,,President / Governor,0.0,,,,,,,,Philibert Andzembe
John Houblon,John Houblon,GBR,john,houblon,GBR,,,,,President / Governor,0.0,,,,,,,,John Houblon
Abraham Houblon,Abraham Houblon,GBR,abraham,houblon,GBR,,,,,Board member,0.0,,,,,,,,Abraham Houblon
Abraham Houblon,Abraham Houblon,GBR,abraham,houblon,GBR,,,,,President / Governor,0.0,,,,,,,,Abraham Houblon
William Scawen,William Scawen,GBR,william,scawen,GBR,,,,,Board member,0.0,,,,,,,,William Scawen
William Scawen,William Scawen,GBR,william,scawen,GBR,,,,,President / Governor,0.0,,,,,,,,William Scawen
Gerard Conyers,Gerard Conyers,GBR,gerard,conyers,GBR,,,,,Board member,0.0,,,,,,,,Gerard Conyers
Gerard Conyers,Gerard Conyers,GBR,gerard,conyers,GBR,,,,,President / Governor,0.0,,,,,,,,Gerard Conyers
John Ward,John Ward,GBR,john,ward,GBR,,,,,Board member,0.0,,,,,,,,John Ward
John Ward,John Ward,GBR,john,ward,GBR,,,,,President / Governor,0.0,,,,,,,,John Ward
Thomas Scawen,Thomas Scawen,GBR,thomas,scawen,GBR,,,,,Board member,0.0,,,,,,,,Thomas Scawen
Thomas Scawen,Thomas Scawen,GBR,thomas,scawen,GBR,,,,,President / Governor,0.0,,,,,,,,Thomas Scawen
Gilbert Heathcote,Gilbert Heathcote,GBR,gilbert,heathcote,GBR,,,,,President / Governor,0.0,,,,,,,,Gilbert Heathcote
Gilbert Heathcote,Gilbert Heathcote,GBR,gilbert,heathcote,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Gilbert Heathcote
John Hanger,John Hanger,GBR,john,hanger,GBR,,,,,Board member,0.0,,,,,,,,John Hanger
John Hanger,John Hanger,GBR,john,hanger,GBR,,,,,President / Governor,0.0,,,,,,,,John Hanger
Michael Godfrey,Michael Godfrey,GBR,michael,godfrey,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Michael Godfrey
James Bateman,James Bateman,GBR,james,bateman,GBR,,,,,Board member,0.0,,,,,,,,James Bateman
James Bateman,James Bateman,GBR,james,bateman,GBR,,,,,President / Governor,0.0,,,,,,,,James Bateman
Nathaniel Gould,Nathaniel Gould,GBR,nathaniel,gould,GBR,,,,,Board member,0.0,,,,,,,,Nathaniel Gould
Nathaniel Gould,Nathaniel Gould,GBR,nathaniel,gould,GBR,,,,,President / Governor,0.0,,,,,,,,Nathaniel Gould
Josiah Diston,Josiah Diston,GBR,josiah,diston,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Josiah Diston
John Rudge,John Rudge,GBR,john,rudge,GBR,,,,,Board member,0.0,,,,,,,,John Rudge
John Rudge,John Rudge,GBR,john,rudge,GBR,,,,,President / Governor,0.0,,,,,,,,John Rudge
Delillers Carbonnel,Delillers Carbonnel,GBR,delillers,carbonnel,GBR,,,,,Board member,0.0,,,,,,,,Delillers Carbonnel
Delillers Carbonnel,Delillers Carbonnel,GBR,delillers,carbonnel,GBR,,,,,President / Governor,0.0,,,,,,,,Delillers Carbonnel
Humphry Morice,Humphry Morice,GBR,humphry,morice,GBR,,,,,Board member,0.0,,,,,,,,Humphry Morice
Humphry Morice,Humphry Morice,GBR,humphry,morice,GBR,,,,,President / Governor,0.0,,,,,,,,Humphry Morice
Samuel Holden,Samuel Holden,GBR,samuel,holden,GBR,,,,,Board member,0.0,,,,,,,,Samuel Holden
Samuel Holden,Samuel Holden,GBR,samuel,holden,GBR,,,,,President / Governor,0.0,,,,,,,,Samuel Holden
John Olmius,John Olmius,GBR,john,olmius,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,John Olmius
Benjamin Longuet,Benjamin Longuet,GBR,benjamin,longuet,GBR,,,,,Board member,0.0,,,,,,,,Benjamin Longuet
Benjamin Longuet,Benjamin Longuet,GBR,benjamin,longuet,GBR,,,,,President / Governor,0.0,,,,,,,,Benjamin Longuet
Stamp Brooksbank,Stamp Brooksbank,GBR,stamp,brooksbank,GBR,,,,,Board member,0.0,,,,,,,,Stamp Brooksbank
Stamp Brooksbank,Stamp Brooksbank,GBR,stamp,brooksbank,GBR,,,,,President / Governor,0.0,,,,,,,,Stamp Brooksbank
Bartholomew Burton,Bartholomew Burton,GBR,bartholomew,burton,GBR,,,,,Board member,0.0,,,,,,,,Bartholomew Burton
Bartholomew Burton,Bartholomew Burton,GBR,bartholomew,burton,GBR,,,,,President / Governor,0.0,,,,,,,,Bartholomew Burton
Nathaniel Gould,Nathaniel Gould,GBR,nathaniel,gould,GBR,,,,,Board member,0.0,,,,,,,,Nathaniel Gould
Nathaniel Gould,Nathaniel Gould,GBR,nathaniel,gould,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Nathaniel Gould
Merrick Burrell,Merrick Burrell,GBR,merrick,burrell,GBR,,,,,Board member,0.0,,,,,,,,Merrick Burrell
Merrick Burrell,Merrick Burrell,GBR,merrick,burrell,GBR,,,,,President / Governor,0.0,,,,,,,,Merrick Burrell
Matthew Clarmont,Matthew Clarmont,GBR,matthew,clarmont,GBR,,,,,Board member,0.0,,,,,,,,Matthew Clarmont
Samuel Fludyer,Samuel Fludyer,GBR,samuel,fludyer,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Samuel Fludyer
William Ewer,William Ewer,GBR,william,ewer,GBR,,,,,Board member,0.0,,,,,,,,William Ewer
William Ewer,William Ewer,GBR,william,ewer,GBR,,,,,President / Governor,0.0,,,,,,,,William Ewer
Peter Gaussen,Peter Gaussen,GBR,peter,gaussen,GBR,,,,,Board member,0.0,,,,,,,,Peter Gaussen
Peter Gaussen,Peter Gaussen,GBR,peter,gaussen,GBR,,,,,President / Governor,0.0,,,,,,,,Peter Gaussen
Daniel Giles,Daniel Giles,GBR,daniel,giles,GBR,,,,,Board member,0.0,,,,,,,,Daniel Giles
Daniel Giles,Daniel Giles,GBR,daniel,giles,GBR,,,,,President / Governor,0.0,,,,,,,,Daniel Giles
Edward Darell,Edward Darell,GBR,edward,darell,GBR,,,,,Board member,0.0,,,,,,,,Edward Darell
Edward Darell,Edward Darell,GBR,edward,darell,GBR,,,,,President / Governor,0.0,,,,,,,,Edward Darell
Richard Neave,Richard Neave,GBR,richard,neave,GBR,,,,,Board member,0.0,,,,,,,,Richard Neave
Richard Neave,Richard Neave,GBR,richard,neave,GBR,,,,,President / Governor,0.0,,,,,,,,Richard Neave
Thomas Raikes,Thomas Raikes,GBR,thomas,raikes,GBR,,,,,Board member,0.0,,,,,,,,Thomas Raikes
Thomas Raikes,Thomas Raikes,GBR,thomas,raikes,GBR,,,,,President / Governor,0.0,,,,,,,,Thomas Raikes
Samuel Bosanquet,Samuel Bosanquet,GBR,samuel,bosanquet,GBR,,,,,Board member,0.0,,,,,,,,Samuel Bosanquet
Samuel Bosanquet,Samuel Bosanquet,GBR,samuel,bosanquet,GBR,,,,,President / Governor,0.0,,,,,,,,Samuel Bosanquet
John Whitmore,John Whitmore,GBR,john,whitmore,GBR,,,,,Board member,0.0,,,,,,,,John Whitmore
John Whitmore,John Whitmore,GBR,john,whitmore,GBR,,,,,President / Governor,0.0,,,,,,,,John Whitmore
Samuel Thornton,Samuel Thornton,GBR,samuel,thornton,GBR,,,,,Board member,0.0,,,,,,,,Samuel Thornton
Samuel Thornton,Samuel Thornton,GBR,samuel,thornton,GBR,,,,,President / Governor,0.0,,,,,,,,Samuel Thornton
Beeston Long,Beeston Long,GBR,beeston,long,GBR,,,,,Board member,0.0,,,,,,,,Beeston Long
Beeston Long,Beeston Long,GBR,beeston,long,GBR,,,,,President / Governor,0.0,,,,,,,,Beeston Long
Charles Pole,Charles Pole,GBR,charles,pole,GBR,,,,,Board member,0.0,,,,,,,,Charles Pole
Charles Pole,Charles Pole,GBR,charles,pole,GBR,,,,,President / Governor,0.0,,,,,,,,Charles Pole
Samuel Drewe,Samuel Drewe,GBR,samuel,drewe,GBR,,,,,Board member,0.0,,,,,,,,Samuel Drewe
Samuel Drewe,Samuel Drewe,GBR,samuel,drewe,GBR,,,,,President / Governor,0.0,,,,,,,,Samuel Drewe
John Pearse,John Pearse,GBR,john,pearse,GBR,,,,,Board member,0.0,,,,,,,,John Pearse
John Pearse,John Pearse,GBR,john,pearse,GBR,,,,,President / Governor,0.0,,,,,,,,John Pearse
William Manning,William Manning,GBR,william,manning,GBR,,,,,Board member,0.0,,,,,,,,William Manning
William Manning,William Manning,GBR,william,manning,GBR,,,,,President / Governor,0.0,,,,,,,,William Manning
Jeremiah Harman,Jeremiah Harman,GBR,jeremiah,harman,GBR,,,,,Board member,0.0,,,,,,,,Jeremiah Harman
Jeremiah Harman,Jeremiah Harman,GBR,jeremiah,harman,GBR,,,,,President / Governor,0.0,,,,,,,,Jeremiah Harman
William Mellish,William Mellish,GBR,william,mellish,GBR,,,,,Board member,0.0,,,,,,,,William Mellish
William Mellish,William Mellish,GBR,william,mellish,GBR,,,,,President / Governor,0.0,,,,,,,,William Mellish
Job Mathew Raikes,Job Raikes,GBR,job,raikes,GBR,,,,,Board member,0.0,,,,,,,,Job Raikes
Job Mathew Raikes,Job Raikes,GBR,job,raikes,GBR,,,,,President / Governor,0.0,,,,,,,,Job Raikes
George Dorrien,George Dorrien,GBR,george,dorrien,GBR,,,,,Board member,0.0,,,,,,,,George Dorrien
George Dorrien,George Dorrien,GBR,george,dorrien,GBR,,,,,President / Governor,0.0,,,,,,,,George Dorrien
Cornelius Buller,Cornelius Buller,GBR,cornelius,buller,GBR,,,,,Board member,0.0,,,,,,,,Cornelius Buller
Cornelius Buller,Cornelius Buller,GBR,cornelius,buller,GBR,,,,,President / Governor,0.0,,,,,,,,Cornelius Buller
John Henry Pelly,John Pelly,GBR,john,pelly,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,John Pelly
John Henry Pelly,John Pelly,GBR,john,pelly,GBR,,,,,President / Governor,0.0,,,,,,,,John Pelly
John Horsley Palmer,John Palmer,GBR,john,palmer,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,John Palmer
John Horsley Palmer,John Palmer,GBR,john,palmer,GBR,,,,,President / Governor,0.0,,,,,,,,John Palmer
Richard Mee Raikes,Richard Raikes,GBR,richard,raikes,GBR,,,,,Board member,0.0,,,,,,,,Richard Raikes
Richard Mee Raikes,Richard Raikes,GBR,richard,raikes,GBR,,,,,President / Governor,0.0,,,,,,,,Richard Raikes
William Cotton,William Cotton,GBR,william,cotton,GBR,,,,,Board member,0.0,,,,,,,,William Cotton
William Cotton,William Cotton,GBR,william,cotton,GBR,,,,,President / Governor,0.0,,,,,,,,William Cotton
John Benjamin Heath,John Heath,GBR,john,heath,GBR,,,,,President / Governor,0.0,,,,,,,,John Heath
John Reid,John Reid,GBR,john,reid,GBR,,,,,President / Governor,0.0,,,,,,,,John Reid
Sheffield Neave,Sheffield Neave,GBR,sheffield,neave,GBR,,,,,Board member,0.0,,,,,,,,Sheffield Neave
Sheffield Neave,Sheffield Neave,GBR,sheffield,neave,GBR,,,,,President / Governor,0.0,,,,,,,,Sheffield Neave
Alfred Latham,Alfred Latham,GBR,alfred,latham,GBR,,,,,Board member,0.0,,,,,,,,Alfred Latham
Alfred Latham,Alfred Latham,GBR,alfred,latham,GBR,,,,,President / Governor,0.0,,,,,,,,Alfred Latham
Thomson Hankey,Thomson Hankey,GBR,thomson,hankey,GBR,,,,,Board member,0.0,,,,,,,,Thomson Hankey
Thomson Hankey,Thomson Hankey,GBR,thomson,hankey,GBR,,,,,Board member,0.0,,,,,,,,Thomson Hankey
John Hubbard,John Hubbard,GBR,john,hubbard,GBR,,,,,President / Governor,0.0,,,,,,,,John Hubbard
Henry Lancelot Holland,Henry Holland,GBR,henry,holland,GBR,,,,,Board member,0.0,,,,,,,,Henry Holland
Henry Lancelot Holland,Henry Holland,GBR,henry,holland,GBR,,,,,President / Governor,0.0,,,,,,,,Henry Holland
Benjamin Buck Greene,Benjamin Greene,GBR,benjamin,greene,GBR,,,,,Board member,0.0,,,,,,,,Benjamin Greene
Benjamin Buck Greene,Benjamin Greene,GBR,benjamin,greene,GBR,,,,,President / Governor,0.0,,,,,,,,Benjamin Greene
Thomas Matthias Weguelin,Thomas Weguelin,GBR,thomas,weguelin,GBR,,,,,Board member,0.0,,,,,,,,Thomas Weguelin
Thomas Matthias Weguelin,Thomas Weguelin,GBR,thomas,weguelin,GBR,,,,,President / Governor,0.0,,,,,,,,Thomas Weguelin
Edward Howley Palmer,Edward Palmer,GBR,edward,palmer,GBR,,,,,Board member,0.0,,,,,,,,Edward Palmer
Edward Howley Palmer,Edward Palmer,GBR,edward,palmer,GBR,,,,,President / Governor,0.0,,,,,,,,Edward Palmer
Robert Wigram Crawford,Robert Crawford,GBR,robert,crawford,GBR,,,,,Board member,0.0,,,,,,,,Robert Crawford
Robert Wigram Crawford,Robert Crawford,GBR,robert,crawford,GBR,,,,,President / Governor,0.0,,,,,,,,Robert Crawford
Kirkman Daniel Hodgson,Kirkman Hodgson,GBR,kirkman,hodgson,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Kirkman Hodgson
Kirkman Daniel Hodgson,Kirkman Hodgson,GBR,kirkman,hodgson,GBR,,,,,President / Governor,0.0,,,,,,,,Kirkman Hodgson
Mark Wilks Collet,Mark Collet,GBR,mark,collet,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Mark Collet
Mark Wilks Collet,Mark Collet,GBR,mark,collet,GBR,,,,,President / Governor,0.0,,,,,,,,Mark Collet
Bonamy Dobrée,Bonamy Dobree,GBR,bonamy,dobree,GBR,,,,,Board member,0.0,,,,,,,,Bonamy Dobree
Bonamy Dobrée,Bonamy Dobree,GBR,bonamy,dobree,GBR,,,,,President / Governor,0.0,,,,,,,,Bonamy Dobree
Henry Hucks Gibbs,Henry Gibbs,GBR,henry,gibbs,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Henry Gibbs
Hucks Gibbs,Hucks Gibbs,GBR,hucks,gibbs,GBR,,,,,President / Governor,0.0,,,,,,,,Hucks Gibbs
Thomas Newman Hunt,Thomas Hunt,GBR,thomas,hunt,GBR,,,,,Board member,0.0,,,,,,,,Thomas Hunt
Thomas Newman Hunt,Thomas Hunt,GBR,thomas,hunt,GBR,,,,,President / Governor,0.0,,,,,,,,Thomas Hunt
Henry Riversdale Grenfell,Henry Grenfell,GBR,henry,grenfell,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Henry Grenfell
Henry Riversdale Grenfell,Henry Grenfell,GBR,henry,grenfell,GBR,,,,,President / Governor,0.0,,,,,,,,Henry Grenfell
John Saunders Gilliat,John Gilliat,GBR,john,gilliat,GBR,,,,,Board member,0.0,,,,,,,,John Gilliat
John Saunders Gilliat,John Gilliat,GBR,john,gilliat,GBR,,,,,President / Governor,0.0,,,,,,,,John Gilliat
William Lidderdale,William Lidderdale,GBR,william,lidderdale,GBR,,,,,Board member,0.0,,,,,,,,William Lidderdale
William Lidderdale,William Lidderdale,GBR,william,lidderdale,GBR,,,,,President / Governor,0.0,,,,,,,,William Lidderdale
James Pattison Currie,James Currie,GBR,james,currie,GBR,,,,,Board member,0.0,,,,,,,,James Currie
James Pattison Currie,James Currie,GBR,james,currie,GBR,,,,,President / Governor,0.0,,,,,,,,James Currie
Albert George Sandeman,Albert Sandeman,GBR,albert,sandeman,GBR,,,,,Board member,0.0,,,,,,,,Albert Sandeman
Albert George Sandeman,Albert Sandeman,GBR,albert,sandeman,GBR,,,,,President / Governor,0.0,,,,,,,,Albert Sandeman
Hugh Colin Smith,Hugh Smith,GBR,hugh,smith,GBR,,,,,Board member,0.0,,,,,,,,Hugh Smith
Hugh Colin Smith,Hugh Smith,GBR,hugh,smith,GBR,,,,,President / Governor,0.0,,,,,,,,Hugh Smith
Alexander Falconer Wallace,Alexander Wallace,GBR,alexander,wallace,GBR,,,,,Board member,0.0,,,,,,,,Alexander Wallace
Alexander Falconer Wallace,Alexander Wallace,GBR,alexander,wallace,GBR,,,,,President / Governor,0.0,,,,,,,,Alexander Wallace
Augustus Steuart Prevost,Augustus Prevost,GBR,augustus,prevost,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Augustus Prevost
Augustus Steuart Prevost,Augustus Prevost,GBR,augustus,prevost,GBR,,,,,President / Governor,0.0,,,,,,,,Augustus Prevost
Samuel Hope Morley,Samuel Morley,GBR,samuel,morley,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Samuel Morley
Samuel Hope Morley,Samuel Morley,GBR,samuel,morley,GBR,,,,,President / Governor,0.0,,,,,,,,Samuel Morley
Reginald Eden Johnston,Reginald Johnston,GBR,reginald,johnston,GBR,,,,,Board member,0.0,,,,,,,,Reginald Johnston
Reginald Eden Johnston,Reginald Johnston,GBR,reginald,johnston,GBR,,,,,President / Governor,0.0,,,,,,,,Reginald Johnston
William Middleton Campbell,William Campbell,GBR,william,campbell,GBR,,,,,Board member,0.0,,,,,,,,William Campbell
William Middleton Campbell,William Campbell,GBR,william,campbell,GBR,,,,,President / Governor,0.0,,,,,,,,William Campbell
Alfred Clayton Cole,Alfred Cole,GBR,alfred,cole,GBR,,,,,Board member,0.0,,,,,,,,Alfred Cole
Alfred Clayton Cole,Alfred Cole,GBR,alfred,cole,GBR,,,,,President / Governor,0.0,,,,,,,,Alfred Cole
Lord Walter Cunliffe,Lord Cunliffe,GBR,lord,cunliffe,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Lord Cunliffe
Walter Cunliffe,Walter Cunliffe,GBR,walter,cunliffe,GBR,,,,,President / Governor,0.0,,,,,,,,Walter Cunliffe
David Powell,David Powell,GBR,david,powell,GBR,,,,,Board member,0.0,,,,,,,,David Powell
David Powell,David Powell,GBR,david,powell,GBR,,,,,President / Governor,0.0,,,,,,,,David Powell
Brien Cokayne,Brien Cokayne,GBR,brien,cokayne,GBR,,,,,Board member,0.0,,,,,,,,Brien Cokayne
Brien Cokayne,Brien Cokayne,GBR,brien,cokayne,GBR,,,,,President / Governor,0.0,,,,,,,,Brien Cokayne
Ernest Musgrave Harvey,Ernest Harvey,GBR,ernest,harvey,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Ernest Harvey
Montagu Collet Norman,Montagu Norman,GBR,montagu,norman,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Montagu Norman
Montagu Collet Norman,Montagu Norman,GBR,montagu,norman,GBR,,,,,President / Governor,0.0,,,,,,,,Montagu Norman
Cecil Lubbock,Cecil Lubbock,GBR,cecil,lubbock,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Cecil Lubbock
Cecil Lubbock,Cecil Lubbock,GBR,cecil,lubbock,GBR,,,,,Board member,0.0,,,,,,,,Cecil Lubbock
Alan Garrett Anderson,Alan Anderson,GBR,alan,anderson,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Alan Anderson
Lord Catto,Lord Catto,GBR,lord,catto,GBR,,,,,President / Governor,0.0,,,,,,,,Lord Catto
Basil G. Catterns,Basil Catterns,GBR,basil,catterns,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Basil Catterns
Dallas Bernard,Dallas Bernard,GBR,dallas,bernard,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Dallas Bernard
Humphrey Mynors,Humphrey Mynors,GBR,humphrey,mynors,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Humphrey Mynors
Cameron Cobbold,Cameron Cobbold,GBR,cameron,cobbold,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Cameron Cobbold
Lord Cobbold,Lord Cobbold,GBR,lord,cobbold,GBR,,,,,President / Governor,0.0,,,,,,,,Lord Cobbold
Leslie Kenneth O'Brien,Leslie Obrien,GBR,leslie,obrien,GBR,,,,,Board member,0.0,,,,,,,,Leslie Obrien
Leslie Kenneth O'Brien,Leslie Obrien,GBR,leslie,obrien,GBR,,,,,President / Governor,0.0,,,,,,,,Leslie Obrien
Gordon William Humphreys Richardson,Gordon Richardson,GBR,gordon,richardson,GBR,,,,,President / Governor,0.0,,,,,,,,Gordon Richardson
Jasper Hollom,Jasper Hollom,GBR,jasper,hollom,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Jasper Hollom
Lord Cromer,Lord Cromer,GBR,lord,cromer,GBR,,,,,President / Governor,0.0,,,,,,,,Lord Cromer
George Blunden,George Blunden,GBR,george,blunden,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,George Blunden
Christopher McMahon,Christopher Mcmahon,GBR,christopher,mcmahon,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Christopher Mcmahon
Robert Leigh-Pemberton,Robin Leighpemberton,GBR,robin,leighpemberton,GBR,,,,,President / Governor,0.0,,,,,,,,Robin Leighpemberton
Vadym Hetman,Vadym Hetman,GBR,vadym,hetman,GBR,,,,,President / Governor,0.0,,,,,,,,Vadym Hetman
Alan Jinkinson,Alan Jinkinson,GBR,alan,jinkinson,GBR,,,,,Board member,0.0,,,,,,,,Alan Jinkinson
Charles Goodhart,Charles Goodhart,GBR,charles,goodhart,GBR,,,,,Board member,0.0,,,,,,,,Charles Goodhart
Alan Budd,Alan Budd,GBR,alan,budd,GBR,,,,,Board member,0.0,,,,,,,,Alan Budd
Volodymyr Matvienko,Volodymyr Matvienko,GBR,volodymyr,matvienko,GBR,,,,,President / Governor,0.0,,,,,,,,Volodymyr Matvienko
Edward Alan John George,Edward George,GBR,edward,george,GBR,,,,,President / Governor,0.0,,,,,,,,Edward George
Volodymyr Stelmakh,Volodymyr Stelmakh,GBR,volodymyr,stelmakh,GBR,,,,,President / Governor,0.0,,,,,,,,Volodymyr Stelmakh
Volodymyr Stelmakh,Volodymyr Stelmakh,GBR,volodymyr,stelmakh,GBR,,,,,President / Governor,0.0,,,,,,,,Volodymyr Stelmakh
Christopher Allsopp,Christopher Allsopp,GBR,christopher,allsopp,GBR,,,,,Board member,0.0,,,,,,,,Christopher Allsopp
Sir Andrew Large,Andrew Large,GBR,andrew,large,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Andrew Large
lan Plenderileith,Lan Plenderileith,GBR,lan,plenderileith,GBR,,,,,President / Governor,0.0,,,,,,,,Lan Plenderileith
Stephen Nickell,Stephen Nickell,GBR,stephen,nickell,GBR,,,,,President / Governor,0.0,,,,,,,,Stephen Nickell
Richard Lambert,Richard Lambert,GBR,richard,lambert,GBR,,,,,President / Governor,0.0,,,,,,,,Richard Lambert
Rodney Bickerstaffe,Rodney Bickerstaffe,GBR,rodney,bickerstaffe,GBR,,,,,Board member,0.0,,,,,,,,Rodney Bickerstaffe
Rachel Lomax,Rachel Lomax,GBR,rachel,lomax,GBR,,,,,President / Governor,1.0,,,,,,,,Rachel Lomax
Colette Bowe,Colette Bowe,GBR,colette,bowe,GBR,,,,,Board member,1.0,,,,,,,,Colette Bowe
Colette Bowe,Colette Bowe,GBR,colette,bowe,GBR,,,,,Board member,1.0,,,,,,,,Colette Bowe
Rupert Pennant-Rea,Rupert Pennantrea,GBR,rupert,pennantrea,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Rupert Pennantrea
Mervyn Allister King,Mervyn King,GBR,mervyn,king,GBR,,,,,President / Governor,0.0,,,,,,,,Mervyn King
David Prentis,David Prentis,GBR,david,prentis,GBR,,,,,Board member,0.0,,,,,,,,David Prentis
Willem Buiter,Willem Buiter,GBR,willem,buiter,GBR,,,,,Board member,0.0,,,,,,,,Willem Buiter
Sir John Gieve,John Gieve,GBR,john,gieve,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,John Gieve
David Clementi,David Clementi,GBR,david,clementi,GBR,,,,,President / Governor,0.0,,,,,,,,David Clementi
Howard Davies,Howard Davies,GBR,howard,davies,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Howard Davies
Howard Davies,Howard Davies,GBR,howard,davies,GBR,,,,,President / Governor,0.0,,,,,,,,Howard Davies
David Blanchflower,David Blanchflower,GBR,david,blanchflower,GBR,,,,,Board member,0.0,,,,,,,,David Blanchflower
Martin Taylor,Martin Taylor,GBR,martin,taylor,GBR,,,,,Board member,0.0,,,,,,,,Martin Taylor
Charlie Bean,Charlie Bean,GBR,charlie,bean,GBR,,,,,Board member,0.0,,,,,,,,Charlie Bean
Charlie Bean,Charlie Bean,GBR,charlie,bean,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Charlie Bean
Sir Jon Cunliffe,Jon Cunliffe,GBR,jon,cunliffe,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Jon Cunliffe
Sir Jon Cunliffe,Jon Cunliffe,GBR,jon,cunliffe,GBR,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Jon Cunliffe
Viktor Yushchenko,Viktor Yushchenko,GBR,viktor,yushchenko,GBR,,,,,President / Governor,0.0,,,,,,,,Viktor Yushchenko
Anne Glover,Anne Glover,GBR,anne,glover,GBR,,,,,Board member,1.0,,,,,,,,Anne Glover
Martin Weale,Martin Weale,GBR,martin,weale,GBR,,,,,Board member,0.0,,,,,,,,Martin Weale
Ian McCafferty,Ian Mccafferty,GBR,ian,mccafferty,GBR,,,,,Board member,0.0,,,,,,,,Ian Mccafferty
