iso3,country,name,position,start_year,end_year,status
ARM,Armenia,Isahak Isahakyan,President / Governor,1986,1994,Histórico
ARM,Armenia,Bagrat Asatryan,President / Governor,1994,1998,Histórico
ARM,Armenia,Tigran Sargsyan,President / Governor,1998,2008,Histórico
ARM,Armenia,Martin Galstyan,President / Governor,2020,En cargo,Actual
ABW,Aruba,H. Mehran,President / Governor,1986,1986,Histórico
ABW,Aruba,A. J.T. Williams,President / Governor,1986,1988,Histórico
ABW,Aruba,E. den Dunnen,President / Governor,1988,1991,Histórico
ABW,Aruba,A. S. Irausquin,President / Governor,1991,1995,Histórico
ABW,Aruba,J-H. du Marchie Sarvaas,President / Governor,1995,2000,Histórico
ABW,Aruba,A. R. Caram,President / Governor,2000,2004,Histórico
ABW,Aruba,R. Henriquez,President / Governor,2004,2007,Histórico
ABW,Aruba,Hassanali Mehran,President / Governor,2007,2008,Histórico
ABW,Aruba,Jeanette R. Semeleer,President / Governor,2008,En cargo,Actual
AUS,Australia,Herbert Cole (Nugget) Coombs,President / Governor,1960,1968,Histórico
AUS,Australia,John Grant (Jock) Phillips,President / Governor,1968,1975,Histórico
AUS,Australia,Harold Murray (Harry) Knight,President / Governor,1975,1982,Histórico
AUS,Australia,Robert Alan (Bob) Johnston,President / Governor,1982,1989,Histórico
AUS,Australia,Bernard William (Bernie) Fraser,President / Governor,1989,1996,Histórico
AUS,Australia,Ian John Macfarlane,President / Governor,1996,2006,Histórico
AUS,Australia,Glenn Robert Stevens,President / Governor,2006,2016,Histórico
AUS,Australia,Philip William Lowe (present term ends 17-09-2023),President / Governor,2016,En cargo,Actual
AUT,Austria,Wolfgang Schmitz,President / Governor,1968,1973,Histórico
AUT,Austria,Hans Kloss,President / Governor,1973,1978,Histórico
AUT,Austria,Stefan Koren,President / Governor,1978,1988,Histórico
AUT,Austria,Herbert Koller,President / Governor,1988,1988,Histórico
AUT,Austria,Hellmuth Klauhs,President / Governor,1988,1990,Histórico
AUT,Austria,Heinz Kienzl,President / Governor,1990,1990,Histórico
AUT,Austria,Maria Schaumayer,President / Governor,1990,1995,Histórico
AUT,Austria,Klaus Liebscher,President / Governor,1995,2008,Histórico
AUT,Austria,Ewald Nowotny,President / Governor,2008,2019,Histórico
AUT,Austria,Robert Holzmann,President / Governor,2019,En cargo,Actual
AZE,Azerbaijan,Cavanşir Abdullayev,President / Governor,1992,1993,Histórico
AZE,Azerbaijan,Qalib Ağayev,President / Governor,1993,1994,Histórico
AZE,Azerbaijan,Elman Rustamov,President / Governor,1995,2022,Histórico
AZE,Azerbaijan,Taleh Tahir Kazimov,President / Governor,2022,En cargo,Actual
BHS,"Bahamas, The",Timothy B. Donaldson,President / Governor,1974,1980,Histórico
BHS,"Bahamas, The",William C. Allen,President / Governor,1980,1987,Histórico
BHS,"Bahamas, The",James H. Smith,President / Governor,1987,1997,Histórico
BHS,"Bahamas, The",Julian W. Francis,President / Governor,1997,2005,Histórico
BHS,"Bahamas, The",Wendy M. Craigg,President / Governor,2005,2015,Histórico
BHS,"Bahamas, The",John A. Rolle,President / Governor,2016,En cargo,Actual
BHR,Bahrain,Shaikh Abdulla bin Khalifa Al Khalifa,President / Governor,1999,2001,Histórico
BHR,Bahrain,Rasheed Mohammed Al Maraj,President / Governor,2005,En cargo,Actual
BGD,Bangladesh,A.N. Hamidullah,President / Governor,1972,1974,Histórico
BGD,Bangladesh,A.K.N. Ahmed,President / Governor,1974,1976,Histórico
BGD,Bangladesh,M. Nurul Islam,President / Governor,1976,1987,Histórico
