category_name;category_url
Governors of the Central Bank of Iceland;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Iceland
Governors of the Reserve Bank of India;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_India
Governors of Bank Indonesia;https://en.wikipedia.org/wiki/Category:Governors_of_Bank_Indonesia
Governors of the Central Bank of Iran;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Iran
Governors of the Central Bank of Iraq;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Iraq
Governors of the Central Bank of Ireland;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Ireland
Governors of the Bank of Israel;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Israel
Governors of the Bank of Italy;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Italy
Governors of the Bank of Jamaica;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Jamaica
Governors of the Bank of Japan;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Japan
Governors of the Central Bank of Jordan;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Jordan
Chairmen of the National Bank of Kazakhstan;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_National_Bank_of_Kazakhstan
Governors of the Central Bank of Kenya;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Kenya
President of the Central Bank of the Democratic People's Republic of Korea;https://en.wikipedia.org/wiki/Category:President_of_the_Central_Bank_of_the_Democratic_People%27s_Republic_of_Korea
Governors of the Bank of Korea;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Korea
Governors of the Central Bank of Kuwait;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Kuwait
Chairmen of National Bank of the Kyrgyz Republic;https://en.wikipedia.org/wiki/Category:Chairmen_of_National_Bank_of_the_Kyrgyz_Republic
Governors of the Bank of the Lao P.D.R.;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_the_Lao_P.D.R.
Governors of the Bank of Latvia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Latvia
Governors of Banque du Liban;https://en.wikipedia.org/wiki/Category:Governors_of_Banque_du_Liban
Governors of the Central Bank of Lesotho;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Lesotho
Governors of the Central Bank of Libya;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Libya
Chairmen of the Bank of Lithuania;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Lithuania
Governors of the Central Bank of Luxembourg;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Luxembourg
Governors of the Reserve Bank of Malawi;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Malawi
Governors of the Central Bank of Malaysia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Malaysia
Governors of the Maldives Monetary Authority;https://en.wikipedia.org/wiki/Category:Governors_of_the_Maldives_Monetary_Authority
Governors of the Central Bank of Malta;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Malta
Governors of the Central Bank of Mauritania;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Mauritania
Governors of the Bank of Mauritius;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Mauritius
Governors of the National Bank of Moldova;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Moldova
Governors of the Bank of Mongolia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Mongolia
Governors of the Central Bank of Montenegro;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Montenegro
Governors of Bank Al-Maghrib;https://en.wikipedia.org/wiki/Category:Governors_of_Bank_Al-Maghrib
Governors of the Bank of Mozambique;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Mozambique
Governors of the Bank of Namibia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Namibia
Governors of Nepal Rastra Bank;https://en.wikipedia.org/wiki/Category:Governors_of_Nepal_Rastra_Bank
Presidents of the Central Bank of the Netherlands;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_the_Netherlands
