PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Frank Lowy;Frank Lowy;AUS;frank;lowy;AUS;;;;;0;0;1930;;;;;Slovakia;Fiľakovo;Board member;10;Frank Lowy;https://en.wikipedia.org/wiki/Frank_Lowy;Q1277577;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Alan Jackson;Alan Jackson;AUS;alan;jackson;AUS;;;;;0;0;1958;1;;;;United States;Newnan;Board member;10;Alan Jackson;https://en.wikipedia.org/wiki/Alan_Jackson;Q380927;40.0;exact_title|name_similarity:1.00|role_hint;matched;1
Hugh Morgan;Hugh Morgan;AUS;hugh;morgan;AUS;;;;;0;0;;;;;;;;Board member;;Hugh Morgan (businessman);https://en.wikipedia.org/wiki/Hugh_Morgan_(businessman);Q5932027;41.47058823529411;strong_title|name_similarity:0.65|econ_context|country_hint|role_hint;rejected;0
Graham Kraehe;Graham Kraehe;AUS;graham;kraehe;AUS;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
BW Fraser;Bernie Fraser;AUS;bernie;fraser;AUS;;;;;2;0;;;;;;;;President / Governor;;Bernie Fraser (economist);https://en.wikipedia.org/wiki/Bernie_Fraser_(economist);Q4894388;42.22222222222222;strong_title|name_similarity:0.72|econ_context|country_hint|role_hint;rejected;0
Richard Warburton;Richard Warburton;AUS;richard;warburton;AUS;;;;;0;0;;;;;;;;Board member;;Richard Warburton;https://en.wikipedia.org/wiki/Richard_Warburton;Q7329803;40.0;exact_title|name_similarity:1.00|role_hint;matched;1
Roger Corbett;Roger Corbett;AUS;roger;corbett;AUS;;;;;0;0;1942;2;;;;;;Board member;1;Roger Corbett;https://en.wikipedia.org/wiki/Roger_Corbett;Q7358020;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Robert Gerard;Robert Gerard;AUS;robert;gerard;AUS;;;;;0;0;1945;1;;;;;;Board member;1;Robert Gerard;https://en.wikipedia.org/wiki/Robert_Gerard;Q7344731;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
IJ Macfarlane;Stephen Grenville;AUS;stephen;grenville;AUS;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;Stephen Grenville Fremantle;https://en.wikipedia.org/wiki/Stephen_Grenville_Fremantle;Q75696910;30.727272727272727;strong_title|name_similarity:0.77|role_hint;rejected;0
Jillian Broadbent;Jillian Broadbent;AUS;jillian;broadbent;AUS;;;;;2;1;1948;1;;;;Australia;New South Wales;President / Governor;;Jillian Broadbent;https://en.wikipedia.org/wiki/Jillian_Broadbent;Q16123989;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
John Akehurst;John Akehurst;AUS;john;akehurst;AUS;;;;;0;0;;;;;;;;Board member;;John Akehurst;https://en.wikipedia.org/wiki/John_Akehurst;Q6218391;35.0;exact_title|name_similarity:1.00;matched;1
John Edwards;John Edwards;AUS;john;edwards;AUS;;;;;0;0;1953;3;State University;;;United States;Seneca;Board member;6;John Edwards;https://en.wikipedia.org/wiki/John_Edwards;Q217314;48.0;exact_title|name_similarity:1.00|econ_context|role_hint;matched;1
Allan Moss;Allan Moss;AUS;allan;moss;AUS;;;;;0;0;1949;1;;;;Australia;Sydney;Board member;8;Allan Moss;https://en.wikipedia.org/wiki/Allan_Moss;Q4730873;44.0;exact_title|name_similarity:1.00|country_hint|role_hint;matched;1
Donald McGauchie;Donald Mcgauchie;AUS;donald;mcgauchie;AUS;1998;1998;2;2;2;0;1959;3;Grammar School;;;Australia;Australia;President / Governor;1;Donald McGauchie;https://en.wikipedia.org/wiki/Donald_McGauchie;Q5294835;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Ric Battellino;Ric Battellino;AUS;ric;battellino;AUS;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Heather Ridout;Heather Ridout;AUS;heather;ridout;AUS;;;;;0;1;1954;;;;;;;Board member;1;Heather Ridout;https://en.wikipedia.org/wiki/Heather_Ridout;Q5694068;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Carol Louise Schwartz AO;Carol Ao;AUS;carol;ao;AUS;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Carolyn Hewson;Carolyn Hewson;AUS;carolyn;hewson;AUS;;;;;0;1;1955;2;;;;Australia;Adelaide;Board member;7;Carolyn Hewson;https://en.wikipedia.org/wiki/Carolyn_Hewson;Q55584096;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
David Clarke;David Clarke;AUS;david;clarke;AUS;;;;;0;0;;;;;;;;Board member;;David Clarke Sr.;https://en.wikipedia.org/wiki/David_Clarke_Sr.;Q5233161;35.888888888888886;strong_title|name_similarity:0.89|country_hint|role_hint;rejected;0
Warwick McKibbin;Warwick Mckibbin;AUS;warwick;mckibbin;AUS;;;;;2;0;1957;1;;;;;;President / Governor;4;Warwick McKibbin;https://en.wikipedia.org/wiki/Warwick_McKibbin;Q7971156;39.0;exact_title|name_similarity:1.00|country_hint;matched;1
Ian Harper;Ian Harper;AUS;ian;harper;AUS;;;;;0;0;;1;;;;;;Board member;;Ian Harper;https://en.wikipedia.org/wiki/Ian_Harper;Q5981743;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Glenn Stevens;Glenn Stevens;AUS;glenn;stevens;AUS;2006;2016;9;9;2;0;1958;3;;;;Australia;Sydney;President / Governor;1;Glenn Stevens;https://en.wikipedia.org/wiki/Glenn_Stevens;Q1813984;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Iain Ross;Iain Ross;AUS;iain;ross;AUS;;;;;0;0;;;;;;;;Board member;;Iain Ross (judge);https://en.wikipedia.org/wiki/Iain_Ross_(judge);Q61052425;42.5;strong_title|name_similarity:0.75|econ_context|country_hint|role_hint;rejected;0
Warwick Hunt;Warwick Hunt;AUS;warwick;hunt;AUS;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Catherine Tanna;Catherine Tanna;AUS;catherine;tanna;AUS;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Elana Rubin;Elana Rubin;AUS;elana;rubin;AUS;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Kathryn Fagg;Kathryn Fagg;AUS;kathryn;fagg;AUS;;;;;0;1;1961;;;;;;;Board member;;Kathryn Fagg;https://en.wikipedia.org/wiki/Kathryn_Fagg;Q53568318;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Philip Lowe;Philip Lowe;AUS;philip;lowe;AUS;2016;2023;9;9;2;0;1961;6;;;Massachusetts Institute of Technology;Australia;Wagga Wagga;President / Governor;10;Philip Lowe;https://en.wikipedia.org/wiki/Philip_Lowe;Q27922677;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Alison Watkins;Alison Watkins;AUS;alison;watkins;AUS;;;;;0;1;1962;2;;;;;;Board member;12;Alison Watkins;https://en.wikipedia.org/wiki/Alison_Watkins;Q67205468;44.0;exact_title|name_similarity:1.00|country_hint|role_hint;matched;1
Michele Bullock;Michele Bullock;AUS;michele;bullock;AUS;2023;;9;;1;1;1962;3;London School of Economics;;;Australia;Melbourne;Vice-president / Deputy-governor;;Michele Bullock;https://en.wikipedia.org/wiki/Michele_Bullock;Q112491545;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Michele Bullock;Michele Bullock;AUS;michele;bullock;AUS;2023;;9;;2;1;1962;3;London School of Economics;;;Australia;Melbourne;President / Governor;;Michele Bullock;https://en.wikipedia.org/wiki/Michele_Bullock;Q112491545;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Brad Banducci;Brad Banducci;AUS;brad;banducci;AUS;;;;;0;0;;3;"University of; Graduate School of Management";;;;;Board member;;Brad Banducci;https://en.wikipedia.org/wiki/Brad_Banducci;Q28771408;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Guy Debelle;Guy Debelle;AUS;guy;debelle;AUS;;;;;1;0;1966;6;;;"University of; Massachusetts Institute of Technology";;;Vice-president / Deputy-governor;;Guy Debelle;https://en.wikipedia.org/wiki/Guy_Debelle;Q31079680;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Guy Debelle;Guy Debelle;AUS;guy;debelle;AUS;;;;;1;0;1966;6;;;"University of; Massachusetts Institute of Technology";;;Vice-president / Deputy-governor;;Guy Debelle;https://en.wikipedia.org/wiki/Guy_Debelle;Q31079680;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Andrew Hauser;Andrew Hauser;AUS;andrew;hauser;AUS;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Andrew Charlton;Andrew Charlton;AUS;andrew;charlton;AUS;2022;;5;;0;0;1978;6;;;;Australia;Sydney;Board member;9;Andrew Charlton;https://en.wikipedia.org/wiki/Andrew_Charlton;Q112567447;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
A.P. Payan;A Payan;AUS;a;payan;AUS;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Bruce Preston;Bruce Preston;AUS;bruce;preston;AUS;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Richard Reisch;Richard Reisch;AUT;richard;reisch;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Viktor Kienböck;Viktor Kienbock;AUT;viktor;kienbock;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Hans Rizzi;Hans Rizzi;AUT;hans;rizzi;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Eugen Margarétha;Eugen Margaretha;AUT;eugen;margaretha;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Eugen Kaniak;Eugen Kaniak;AUT;eugen;kaniak;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dr. Hans Kloss;Hans Kloss;AUT;hans;kloss;AUT;;;;;2;0;;;;;;;;President / Governor;;Hans Kloss (bank manager);https://en.wikipedia.org/wiki/Hans_Kloss_(bank_manager);Q1580768;41.06060606060606;strong_title|name_similarity:0.61|econ_context|country_hint|role_hint;rejected;0
Reinhard Kamitz;Reinhard Kamitz;AUT;reinhard;kamitz;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dr. Wolfgang Schmitz;Wolfgang Schmitz;AUT;wolfgang;schmitz;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dr. Helmuth Klauhs;Hellmuth Klauhs;AUT;hellmuth;klauhs;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dr. Maria Schaumayer;Maria Schaumayer;AUT;maria;schaumayer;AUT;;;;;2;1;1931;2;Vienna University of Economics;;;Austria;Graz;President / Governor;10;Maria Schaumayer;https://en.wikipedia.org/wiki/Maria_Schaumayer;Q1277360;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Adolf Wala;Adolf Wala;AUT;adolf;wala;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Adolf Wala;Adolf Wala;AUT;adolf;wala;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Herbert Schimetschek;Herbert Schimetschek;AUT;herbert;schimetschek;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dr. Klaus Liebscher;Klaus Liebscher;AUT;klaus;liebscher;AUT;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Claus Raidl;Claus Raidl;AUT;claus;raidl;AUT;;;;;2;0;1942;1;;;;Austria;Kapfenberg;President / Governor;11;Claus Raidl;https://en.wikipedia.org/wiki/Claus_Raidl;Q1098779;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Ewald Nowotny;Ewald Nowotny;AUT;ewald;nowotny;AUT;;;;;2;0;1944;1;;;;Austria;Vienna;President / Governor;6;Ewald Nowotny;https://en.wikipedia.org/wiki/Ewald_Nowotny;Q88443;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Robert Holzmann;Robert Holzmann;AUT;robert;holzmann;AUT;2019;2025;9;8;2;0;1949;1;;;;Austria;Leoben;President / Governor;2;Robert Holzmann;https://en.wikipedia.org/wiki/Robert_Holzmann;Q22005045;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Gertrude Tumpel-Gugerell;Gertrude Tumpelgugerell;AUT;gertrude;tumpelgugerell;AUT;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Gertrude Tumpel-Gugerell;Gertrude Tumpelgugerell;AUT;gertrude;tumpelgugerell;AUT;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Johannes Hahn;Johannes Hahn;AUT;johannes;hahn;AUT;;;;;0;0;1957;2;;;;Austria;Vienna;Board member;12;Johannes Hahn;https://en.wikipedia.org/wiki/Johannes_Hahn;Q78647;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Ingrid Reischl;Ingrid Reischl;AUT;ingrid;reischl;AUT;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Gottfried Haber;Gottfried Haber;AUT;gottfried;haber;AUT;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Harald Mahrer;Harald Mahrer;AUT;harald;mahrer;AUT;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Martin Kocher;Martin Kocher;AUT;martin;kocher;AUT;2025;;9;;2;0;1973;2;;;;Austria;Salzburg;President / Governor;1;Martin Kocher;https://en.wikipedia.org/wiki/Martin_Kocher;Q18222522;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Bettina Dorfer‑Pauschenwein;Bettina Dorferpauschenwein;AUT;bettina;dorferpauschenwein;AUT;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Stephan Koren;Stephan Koren;AUT;stephan;koren;AUT;;;;;2;0;;;;;;;;President / Governor;;Elisabeth Bleyleben-Koren;https://en.wikipedia.org/wiki/Elisabeth_Bleyleben-Koren;Q1329787;27.73684210526316;shared_last_name|name_similarity:0.47|econ_context|country_hint|role_hint;rejected;0
Qalib Ağayev;Qalib Agayev;AZE;qalib;agayev;AZE;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Qalib Ağayev;Qalib Agayev;AZE;qalib;agayev;AZE;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Elman Rustamov;Elman Rustamov;AZE;elman;rustamov;AZE;1995;2022;1;4;2;0;1952;1;;;;Azerbaijan;Jabrayil District;President / Governor;6;Elman Rustamov;https://en.wikipedia.org/wiki/Elman_Rustamov;Q1813593;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Alim Guliyev;Alim Guliyev;AZE;alim;guliyev;AZE;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Taleh Kazimov;Taleh Kazimov;AZE;taleh;kazimov;AZE;2022;;4;;2;0;1983;2;"Oil Academy; Technical University; State University; Harvard University; Business School";;;Russian Empire;Baku;President / Governor;9;Taleh Kazimov;https://en.wikipedia.org/wiki/Taleh_Kazimov;Q108823069;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Cavanşir Abdullayev;Cavansir Abdullayev;AZE;cavansir;abdullayev;AZE;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Greogiore Bayiyezako;Greogiore Bayiyezako;BDI;greogiore;bayiyezako;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Salvator Toyi;Salvator Toyi;BDI;salvator;toyi;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Grégoire Banyiyezako;Gregoire Banyiyezako;BDI;gregoire;banyiyezako;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Gaspard Sindayigaya;Gaspard Sindayigaya;BDI;gaspard;sindayigaya;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Bonaventure Kidwingira;Bonaventure Kidwingira;BDI;bonaventure;kidwingira;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Elisee Ntahonikora;Elisee Ntahonikora;BDI;elisee;ntahonikora;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Aloys Ntahonkiriye;Aloys Ntahonkiriye;BDI;aloys;ntahonkiriye;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Isaac Budabuda;Isaac Budabuda;BDI;isaac;budabuda;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mathias Sinamenye;Mathias Sinamenye;BDI;mathias;sinamenye;BDI;1998;2001;6;11;2;0;;;;;;;;President / Governor;;Mathias Sinamenye;https://en.wikipedia.org/wiki/Mathias_Sinamenye;Q3298604;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Gabriel Ntisezerana;Gabriel Ntisezerana;BDI;gabriel;ntisezerana;BDI;2007;2010;2;8;2;0;;;;;;;;President / Governor;;Gabriel Ntisezerana;https://en.wikipedia.org/wiki/Gabriel_Ntisezerana;Q1803951;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Isaac Bizimana;Isaac Bizimana;BDI;isaac;bizimana;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Jean Ciza;Jean Ciza;BDI;jean;ciza;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Édouard Normand Bigendako;Edouard Bigendako;BDI;edouard;bigendako;BDI;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Maurice Frère ;Maurice Frere;BEL;maurice;frere;BEL;1944;1957;;;2;0;1890;;;;;Belgium;;President / Governor;8;Maurice Frère;https://en.wikipedia.org/wiki/Maurice_Frère;Q3300806;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Hubert Ansiaux;Hubert Ansiaux;BEL;hubert;ansiaux;BEL;1957;1971;;;2;0;1908;;;;;Belgium;Ixelles;President / Governor;11;Hubert Ansiaux;https://en.wikipedia.org/wiki/Hubert_Ansiaux;Q742865;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Robert Vandeputte;Robert Vandeputte;BEL;robert;vandeputte;BEL;1971;1975;;;2;0;1908;;;;;Belgium;Antwerp;President / Governor;2;Robert Vandeputte;https://en.wikipedia.org/wiki/Robert_Vandeputte;Q1898248;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Baron Cecil de Strycker;Cecil Strycker;BEL;cecil;strycker;BEL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Baron Jean Godeaux;Jean Godeaux;BEL;jean;godeaux;BEL;1982;1989;;;2;0;1922;;;;;Belgium;Jemeppe-sur-Meuse;President / Governor;7;Jean Godeaux;https://en.wikipedia.org/wiki/Jean_Godeaux;Q2241115;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;1989;1999;7;2;2;0;1930;1;;;;Belgium;Zulte;President / Governor;2;Alfons Verplaetse;https://en.wikipedia.org/wiki/Alfons_Verplaetse;Q2521512;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;1989;1999;7;2;2;0;1930;1;;;;Belgium;Zulte;President / Governor;2;Alfons Verplaetse;https://en.wikipedia.org/wiki/Alfons_Verplaetse;Q2521512;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Rik Branson;Rik Branson;BEL;rik;branson;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Guy Quaden;Guy Quaden;BEL;guy;quaden;BEL;1999;2011;;;2;0;1945;1;;;;Belgium;Liège;President / Governor;8;Guy Quaden;https://en.wikipedia.org/wiki/Guy_Quaden;Q1774517;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Luc Coene;Luc Coene;BEL;luc;coene;BEL;2011;2015;;;2;0;1947;1;;;;Belgium;Ghent;President / Governor;3;Luc Coene;https://en.wikipedia.org/wiki/Luc_Coene;Q466176;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;1949;2;;;;Germany;Herchen;Board member;1;Peter Praet;https://en.wikipedia.org/wiki/Peter_Praet;Q539287;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;1949;2;;;;Germany;Herchen;Board member;1;Peter Praet;https://en.wikipedia.org/wiki/Peter_Praet;Q539287;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Gerald Frère;Gerald Frere;BEL;gerald;frere;BEL;;;;;0;0;1951;;;;;Belgium;;Board member;5;Gérald Frère;https://en.wikipedia.org/wiki/Gérald_Frère;Q3123617;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Didier Matray;Didier Matray;BEL;didier;matray;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Jan Smets;Jan Smets;BEL;jan;smets;BEL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Rudi Thomaes;Rudi Thomaes;BEL;rudi;thomaes;BEL;;;;;0;0;1952;1;;;;;;Board member;8;Rudi Thomaes;https://en.wikipedia.org/wiki/Rudi_Thomaes;Q2030643;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Eddy Varmoesen;Eddy Varmoesen;BEL;eddy;varmoesen;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Marcia de Wachter;Marcia Wachter;BEL;marcia;wachter;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Guy Haaze;Guy Haaze;BEL;guy;haaze;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Rudy De Leeuw;Rudy Leeuw;BEL;rudy;leeuw;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Carl Devlies;Carl Devlies;BEL;carl;devlies;BEL;;;;;0;0;1953;;;;;Netherlands;Amsterdam;Board member;1;Carl Devlies;https://en.wikipedia.org/wiki/Carl_Devlies;Q1037486;40.0;exact_title|name_similarity:1.00|role_hint;matched;1
Jan Vercamst;Jan Vercamst;BEL;jan;vercamst;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Christl Joris;Christl Joris;BEL;christl;joris;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Yves Prete;Yves Prete;BEL;yves;prete;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Jean Louis Six;Jean Six;BEL;jean;six;BEL;;;;;0;0;1533;1;;;;France;Lille;Board member;;Jean Six;https://en.wikipedia.org/wiki/Jean_Six;Q3174652;35.0;exact_title|name_similarity:1.00;matched;1
Jean Francois Cats;Jean Cats;BEL;jean;cats;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Eric Mathay;Eric Mathay;BEL;eric;mathay;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Michèle Detaille;Michele Detaille;BEL;michele;detaille;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Claire Tillekaerts;Claire Tillekaerts;BEL;claire;tillekaerts;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Hans Dhondt;Hans Dhondt;BEL;hans;dhondt;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Jean Eylenbosch;Jean Eylenbosch;BEL;jean;eylenbosch;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Mario Coppens;Mario Coppens;BEL;mario;coppens;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Thierry Bodson;Thierry Bodson;BEL;thierry;bodson;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Christine Mahy;Christine Mahy;BEL;christine;mahy;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Marc Leemans;Marc Leemans;BEL;marc;leemans;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Mia Schamphelaere;Mia Schamphelaere;BEL;mia;schamphelaere;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Christian Van Thillo;Christian Thillo;BEL;christian;thillo;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Fabienne Bister;Fabienne Bister;BEL;fabienne;bister;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Veronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Jo Swyngedouw;Jo Swyngedouw;BEL;jo;swyngedouw;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Pieter Timmermans;Pieter Timmermans;BEL;pieter;timmermans;BEL;;;;;0;0;1964;1;;;;Belgium;Ninove;Board member;6;Pieter Timmermans;https://en.wikipedia.org/wiki/Pieter_Timmermans;Q18402469;39.0;exact_title|name_similarity:1.00|country_hint;matched;1
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;2010;2011;6;;1;0;1964;2;Catholic University of Leuven;;;Belgium;Wevelgem;Vice-president / Deputy-governor;2;Steven Vanackere;https://en.wikipedia.org/wiki/Steven_Vanackere;Q2067763;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;2010;2011;6;;1;0;1964;2;Catholic University of Leuven;;;Belgium;Wevelgem;Vice-president / Deputy-governor;2;Steven Vanackere;https://en.wikipedia.org/wiki/Steven_Vanackere;Q2067763;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Véronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Robert Vertenueil;Robert Vertenueil;BEL;robert;vertenueil;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Karel Van Eetvel;Karel Eetvel;BEL;karel;eetvel;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Sonja De Becker;Sonja Becker;BEL;sonja;becker;BEL;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Pierre Wunsch;Pierre Wunsch;BEL;pierre;wunsch;BEL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Gregoire Koutentakis;Gregoire Koutentakis;BEL;gregoire;koutentakis;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Vincent Magnee;Vincent Magnee;BEL;vincent;magnee;BEL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
