PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Nargis Nehan;Nargis Nehan;AFG;nargis;nehan;AFG;;;;;0;1;1981;;;;;;;Board member;1;Nargis Nehan;https://en.wikipedia.org/wiki/Nargis_Nehan;Q61120412;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Wahidullah Nosher;Wahidullah Nosher;AFG;wahidullah;nosher;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Habibullah Malie Achekzai;Habibullah Achekzai;AFG;habibullah;achekzai;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Abdul Hay Azizi;Abdul Azizi;AFG;abdul;azizi;AFG;;;;;2;0;;;;;;;;President / Governor;;Abdul Azizi Ali Rahman;https://en.wikipedia.org/wiki/Abdul_Azizi_Ali_Rahman;Q24088738;24.666666666666664;strong_title|name_similarity:0.67;rejected;0
Mohammad Hakim Khan;Mohammad Khan;AFG;mohammad;khan;AFG;;;;;2;0;;;;;;;;President / Governor;;Arif Mohammad Khan;https://en.wikipedia.org/wiki/Arif_Mohammad_Khan;Q4790546;31.387096774193548;partial_title|name_similarity:0.84|econ_context|role_hint;rejected;0
Ghulam Hussain Jujeni;Ghulam Jujeni;AFG;ghulam;jujeni;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mehrabuddin Paktiawal;Mehrabuddin Paktiawal;AFG;mehrabuddin;paktiawal;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Abdul Basir Ranjbar;Abdul Ranjbar;AFG;abdul;ranjbar;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mohammad Kabir;Mohammad Kabir;AFG;mohammad;kabir;AFG;;;;;2;0;;;;;;;;President / Governor;;Mohammad Kabir Hassan;https://en.wikipedia.org/wiki/Mohammad_Kabir_Hassan;Q30072965;34.0;strong_title|name_similarity:0.80|econ_context;rejected;0
Khalilullah Sediq;Khalil Sediq;AFG;khalil;sediq;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Abdul Wahab Asefi;Abdul Asefi;AFG;abdul;asefi;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Najibullah Sahu;Najibullah Sahu;AFG;najibullah;sahu;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mohammad Hakim Khan;Mohammad Khan;AFG;mohammad;khan;AFG;;;;;2;0;;;;;;;;President / Governor;;Arif Mohammad Khan;https://en.wikipedia.org/wiki/Arif_Mohammad_Khan;Q4790546;31.387096774193548;partial_title|name_similarity:0.84|econ_context|role_hint;rejected;0
Ehsanullah Ehsan;Ehsanullah Ehsan;AFG;ehsanullah;ehsan;AFG;;;;;2;0;;;;;;;;President / Governor;;Ehsanullah Ehsan (banker);https://en.wikipedia.org/wiki/Ehsanullah_Ehsan_(banker);Q5348672;43.20512820512821;strong_title|name_similarity:0.82|econ_context|country_hint|role_hint;rejected;0
Abdul Samad Sani;Abdul Sani;AFG;abdul;sani;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mohammad Ahmadi;Mohammad Ahmadi;AFG;mohammad;ahmadi;AFG;;;;;2;0;;;;;;;;President / Governor;;Baz Mohammad Ahmadi;https://en.wikipedia.org/wiki/Baz_Mohammad_Ahmadi;Q730798;35.82352941176471;partial_title|name_similarity:0.88|econ_context|country_hint|role_hint;rejected;0
Noorullah Delwari;Noorullah Delwari;AFG;noorullah;delwari;AFG;;;;;2;0;;;;;;;;President / Governor;;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Samiullah Ibrahimi;Samiullah Ibrahimi;AFG;samiullah;ibrahimi;AFG;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Abdul Ghani Ghawasi;Abdul Ghawasi;AFG;abdul;ghawasi;AFG;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Noorullah Delwari;Noorullah Delwari;AFG;noorullah;delwari;AFG;;;;;2;0;;;;;;;;President / Governor;;Noorullah Delwari;https://en.wikipedia.org/wiki/Noorullah_Delwari;Q30688167;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Khan Afzal Hadawal;Khan Hadawal;AFG;khan;hadawal;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Khan Afzal Hadawal;Khan Hadawal;AFG;khan;hadawal;AFG;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Mohammad Osmani;Mohammad Osmani;AFG;mohammad;osmani;AFG;;;;;0;0;;;;;;;;Board member;;Akhtar Mohammad Osmani;https://en.wikipedia.org/wiki/Akhtar_Mohammad_Osmani;Q2829009;35.10810810810811;partial_title|name_similarity:0.81|econ_context|country_hint|role_hint;rejected;0
Shakir Jalali;Shakir Jalali;AFG;shakir;jalali;AFG;2021;2023;10;3;2;0;;;;;;;;President / Governor;;Shakir Jalali;https://en.wikipedia.org/wiki/Shakir_Jalali;Q108872917;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Gaspar Martins;Gaspar Martins;AGO;gaspar;martins;AGO;;;;;2;0;;;;;;;;President / Governor;;Ismael Martins;https://en.wikipedia.org/wiki/Ismael_Martins;Q5526551;25.142857142857142;shared_last_name|name_similarity:0.71|econ_context|country_hint;rejected;0
Aguinaldo Jaime;Aguinaldo Jaime;AGO;aguinaldo;jaime;AGO;1990;1992;6;4;2;0;1956;1;;;;Angola;Luanda;President / Governor;1;Aguinaldo Jaime;https://en.wikipedia.org/wiki/Aguinaldo_Jaime;Q4694559;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
José Pedro de Morais Júnior;Jose Morais;AGO;jose;morais;AGO;;;;;2;0;1965;;;;;Portugal;Lisbon;President / Governor;7;José Morais;https://en.wikipedia.org/wiki/José_Morais;Q4353621;39.0;exact_title|name_similarity:1.00|country_hint;matched;1
Gualberto Lima Campos;Gualberto Campos;AGO;gualberto;campos;AGO;;;;;1;0;1981;;;;;Venezuela;Ciudad Guayana;Vice-president / Deputy-governor;4;Gualberto Campos;https://en.wikipedia.org/wiki/Gualberto_Campos;Q5613375;35.0;exact_title|name_similarity:1.00;matched;1
Manuel Piedad dos Santos Junior;Manuel Junior;AGO;manuel;junior;AGO;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Jose Lima Massano;Jose Massano;AGO;jose;massano;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Ricardo Abreu;Ricardo Abreu;AGO;ricardo;abreu;AGO;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Manuel António Tiago Dias;Manuel Dias;AGO;manuel;dias;AGO;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;Manuel Dias (athlete);https://en.wikipedia.org/wiki/Manuel_Dias_(athlete);Q6752533;25.333333333333332;strong_title|name_similarity:0.73;rejected;0
Manuel António Tiago Dias;Manuel Dias;AGO;manuel;dias;AGO;;;;;0;0;;;;;;;;Board member;;Manuel Dias (athlete);https://en.wikipedia.org/wiki/Manuel_Dias_(athlete);Q6752533;25.333333333333332;strong_title|name_similarity:0.73;rejected;0
Ricardo Daniel Queirós SandàoViegas D’Abreu;Ricardo Dabreu;AGO;ricardo;dabreu;AGO;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
José de Lima Massano;Jose Massano;AGO;jose;massano;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Valter Filipe Duarte da Silva;Valter Silva;AGO;valter;silva;AGO;;;;;2;0;;;;;;;;President / Governor;;Valter;https://en.wikipedia.org/wiki/Valter;Q16282332;24.666666666666664;strong_title|name_similarity:0.67;rejected;0
José F. Leitao de Carvalho;Jose Carvalho;AGO;jose;carvalho;AGO;;;;;2;0;;;;;;;;President / Governor;;José Carvalho da Rocha;https://en.wikipedia.org/wiki/José_Carvalho_da_Rocha;Q18276312;42.42857142857143;strong_title|name_similarity:0.74|econ_context|country_hint|role_hint;rejected;0
Augusto Teixeira de Matos;Augusto Matos;AGO;augusto;matos;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
António Inácio;Antonio Inacio;AGO;antonio;inacio;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Pedro Cunha Neto;Pedro Neto;AGO;pedro;neto;AGO;;;;;2;0;2000;;;;;Portugal;Viana do Castelo;President / Governor;3;Pedro Neto;https://en.wikipedia.org/wiki/Pedro_Neto;Q30036972;35.0;exact_title|name_similarity:1.00;matched;1
Sebastião Bastos Lavrador;Sebastiao Lavrador;AGO;sebastiao;lavrador;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Generoso Hermenegildo de Almeida;Generoso Almeida;AGO;generoso;almeida;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
António Gomes Furtado;Antonio Furtado;AGO;antonio;furtado;AGO;;;;;2;0;1934;6;;;;;;President / Governor;8;Antonio Luz Furtado;https://en.wikipedia.org/wiki/Antonio_Luz_Furtado;Q16668163;18.823529411764707;partial_title|name_similarity:0.88;matched;1
Sebastião Bastos Lavrador;Sebastiao Lavrador;AGO;sebastiao;lavrador;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Celestino Eliseu Kanda;Celestino Kanda;AGO;celestino;kanda;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Marinela Amaral;Marinela Amaral;AGO;marinela;amaral;AGO;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Amadeu de Jesus Castelhano Maurício;Amadeu Mauricio;AGO;amadeu;mauricio;AGO;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
