search_name;iso3;position_original;reason
Demian Reidel;ARG;Vice-president / Deputy-governor;no_reliable_match
Lucas Llach;ARG;Vice-president / Deputy-governor;no_reliable_match
Egidio Iannella;ARG;Board member;no_reliable_match
Carlos Bringnone;ARG;President / Governor;no_reliable_match
Alfredo Cassino;ARG;President / Governor;no_reliable_match
* Conception;ARG;President / Governor;no_reliable_match
Andrey Papovyan;ARM;President / Governor;no_reliable_match
Ashot Avetisyan;ARM;Board member;no_reliable_match
Armenak Darbinyan;ARM;Board member;no_reliable_match
Grigor Ghonjeyan;ARM;Board member;no_reliable_match
Andranik Norekyan;ARM;President / Governor;no_reliable_match
Arthur Javadyan;ARM;Board member;no_reliable_match
Arthur Javadyan;ARM;President / Governor;no_reliable_match
Karine Minasyan;ARM;President / Governor;no_reliable_match
Armen Nurbekyan;ARM;Vice-president / Deputy-governor;no_reliable_match
Anton Krizhijanovsky;ARM;President / Governor;no_reliable_match
Nikolai Sannikov;ARM;President / Governor;no_reliable_match
Constantine Sibani;ARM;President / Governor;no_reliable_match
Vladislav Moravski;ARM;President / Governor;no_reliable_match
Martin Sahakyan;ARM;President / Governor;no_reliable_match
Garsan Varshamyan;ARM;President / Governor;no_reliable_match
Vardan Mamikonyan;ARM;President / Governor;no_reliable_match
Arkady Minasyan;ARM;President / Governor;no_reliable_match
Sergey Baturi;ARM;President / Governor;no_reliable_match
Riza Velibekov;ARM;President / Governor;no_reliable_match
Artashes Sargsyan;ARM;President / Governor;no_reliable_match
Stepan Safaryan;ARM;President / Governor;no_reliable_match
Vladimir Aghasyan;ARM;President / Governor;no_reliable_match
Ruben Valesyan;ARM;Board member;no_reliable_match
Vardan Movsesyan;ARM;Board member;no_reliable_match
Amalya Saribekyan;ARM;Board member;no_reliable_match
Vakhtang Abrahamyan;ARM;Board member;no_reliable_match
Oleg Aghasyan;ARM;Board member;no_reliable_match
Mervyn Phillips;AUS;Vice-president / Deputy-governor;no_reliable_match
Graham Kraehe;AUS;President / Governor;no_reliable_match
Ric Battellino;AUS;President / Governor;no_reliable_match
Carol Ao;AUS;Board member;no_reliable_match
Warwick Hunt;AUS;Board member;no_reliable_match
Catherine Tanna;AUS;Board member;no_reliable_match
Elana Rubin;AUS;Board member;no_reliable_match
Andrew Hauser;AUS;Vice-president / Deputy-governor;no_reliable_match
A Payan;AUS;Board member;no_reliable_match
Bruce Preston;AUS;Board member;no_reliable_match
Richard Reisch;AUT;President / Governor;no_reliable_match
Viktor Kienbock;AUT;President / Governor;no_reliable_match
Hans Rizzi;AUT;President / Governor;no_reliable_match
Eugen Margaretha;AUT;President / Governor;no_reliable_match
Eugen Kaniak;AUT;President / Governor;no_reliable_match
Reinhard Kamitz;AUT;President / Governor;no_reliable_match
Wolfgang Schmitz;AUT;President / Governor;no_reliable_match
Hellmuth Klauhs;AUT;President / Governor;no_reliable_match
Adolf Wala;AUT;President / Governor;no_reliable_match
Adolf Wala;AUT;President / Governor;no_reliable_match
Herbert Schimetschek;AUT;President / Governor;no_reliable_match
