search_name;iso3;position_original;reason
Timothy Lane;CAN;Vice-president / Deputy-governor;no_reliable_match
Monique Mercier;CAN;Board member;no_reliable_match
Lawrence Schembri;CAN;Board member;no_reliable_match
Tiff Macklen;CAN;Board member;no_reliable_match
Peter Dhillon;CAN;Board member;no_reliable_match
Carolyn Rogers;CAN;Vice-president / Deputy-governor;no_reliable_match
Sharon Kozicki;CAN;Vice-president / Deputy-governor;no_reliable_match
Charles Freedman;CAN;President / Governor;no_reliable_match
Tim Noel;CAN;Vice-president / Deputy-governor;no_reliable_match
Malcom Knight;CAN;President / Governor;no_reliable_match
David Longworth;CAN;Vice-president / Deputy-governor;no_reliable_match
Phillip Deck;CAN;Board member;no_reliable_match
Jock Finlayson;CAN;Board member;no_reliable_match
Richard Mcgaw;CAN;Board member;no_reliable_match
Agathe Cote;CAN;President / Governor;no_reliable_match
Phyllis Clark;CAN;Board member;no_reliable_match
Wes Scott;CAN;Board member;no_reliable_match
Sylvain Leduc;CAN;Vice-president / Deputy-governor;no_reliable_match
Sandra Hanington;CAN;Board member;no_reliable_match
Heinrich Kundert;CHE;President / Governor;no_reliable_match
Rodolphe Haller;CHE;Vice-president / Deputy-governor;no_reliable_match
Charles Wartensee;CHE;Vice-president / Deputy-governor;no_reliable_match
Gottlieb Bachmann;CHE;President / Governor;no_reliable_match
Paul Rossy;CHE;Vice-president / Deputy-governor;no_reliable_match
Walter Schwegler;CHE;President / Governor;no_reliable_match
Edwin Stopper;CHE;President / Governor;no_reliable_match
Pierre Languetin;CHE;President / Governor;no_reliable_match
Markus Lusser;CHE;Board member;no_reliable_match
Markus Lusser;CHE;President / Governor;no_reliable_match
Kurt Hauri;CHE;Board member;no_reliable_match
Kathi Bangerter;CHE;Board member;no_reliable_match
Eduard Belser;CHE;Board member;no_reliable_match
Ulrich Kohli;CHE;Board member;no_reliable_match
Philippe Pidoux;CHE;Board member;no_reliable_match
Niklaus Blattner;CHE;President / Governor;no_reliable_match
Niklaus Blattner;CHE;Board member;no_reliable_match
Werner Messmer;CHE;Board member;no_reliable_match
Franz Marty;CHE;Board member;no_reliable_match
Hans Raggenbass;CHE;Board member;no_reliable_match
Alfredo Gysi;CHE;Board member;no_reliable_match
Jean Danthine;CHE;President / Governor;no_reliable_match
Rita Fuhrer;CHE;Board member;no_reliable_match
Serge Gaillard;CHE;Board member;no_reliable_match
Olivier Steimber;CHE;Board member;no_reliable_match
Ernst Stocker;CHE;Board member;no_reliable_match
Martin Kraenzlin;CHE;Board member;no_reliable_match
Marina Masoni;CHE;Board member;no_reliable_match
Christoph Lengwiler;CHE;Board member;no_reliable_match
Christoph Mader;CHE;Board member;no_reliable_match
Dewet Moser;CHE;Board member;no_reliable_match
Shelby Pasquier;CHE;Board member;no_reliable_match
Fritz Zurbrugg;CHE;Vice-president / Deputy-governor;no_reliable_match
Romeo Lacher;CHE;Vice-president / Deputy-governor;no_reliable_match
Laura Sadis;CHE;Board member;no_reliable_match
Monika Butler;CHE;Board member;no_reliable_match
Rajna Brandon;CHE;Board member;no_reliable_match
Barbara Janom;CHE;Board member;no_reliable_match
Daniel Lampart;CHE;Board member;no_reliable_match
Vania Alleva;CHE;Board member;no_reliable_match
Christoph Ammann;CHE;Vice-president / Deputy-governor;no_reliable_match
Cedric Tille;CHE;Board member;no_reliable_match
Angelo Ranaldo;CHE;Board member;no_reliable_match
Thomas Wiedmer;CHE;Board member;no_reliable_match
Christian Vitta;CHE;Board member;no_reliable_match
Rosmarie Schlup;CHE;Vice-president / Deputy-governor;no_reliable_match
Michel Peytrignet;CHE;Board member;no_reliable_match
Alexander Swoboda;CHE;Board member;no_reliable_match
Armin Jans;CHE;Board member;no_reliable_match
Petra Tschudin;CHE;Vice-president / Deputy-governor;no_reliable_match
Manuel Franzani;CHL;President / Governor;no_reliable_match
Carlos Abud;CHL;President / Governor;no_reliable_match
Vittorio Lioi;CHL;Board member;no_reliable_match
Stephany Griffithjones;CHL;Board member;no_reliable_match
Stephany Griffithjones;CHL;Vice-president / Deputy-governor;no_reliable_match
Miguel Rist;CHL;President / Governor;no_reliable_match
Roberto Mayanz;CHL;President / Governor;no_reliable_match
Jose Lewis;CHL;Board member;no_reliable_match
Joaquin Ruiztagle;CHL;Board member;no_reliable_match
Joaquin Vial;CHL;Vice-president / Deputy-governor;no_reliable_match
Jose Rebecco;CHL;President / Governor;no_reliable_match
Jose Rebeco;CHL;Board member;no_reliable_match
Mario Cullell;CHL;Board member;no_reliable_match
Rodrigo Urzua;CHL;President / Governor;no_reliable_match
Claudio Gamboa;CHL;Board member;no_reliable_match
Sebastin Claro;CHL;Board member;no_reliable_match
Sebastian Claro;CHL;Vice-president / Deputy-governor;no_reliable_match
Alberto Delloro;CHL;Vice-president / Deputy-governor;no_reliable_match
Arturo Tornero;CHL;President / Governor;no_reliable_match
Eduardo Geisse;CHL;President / Governor;no_reliable_match
Luis Shiell;CHL;President / Governor;no_reliable_match
Alfonso Cuevas;CHL;President / Governor;no_reliable_match
Eduardo Quijada;CHL;President / Governor;no_reliable_match
Pablo Urzua;CHL;President / Governor;no_reliable_match
Sergio Fabres;CHL;President / Governor;no_reliable_match
Francisco Barcelo;CHL;President / Governor;no_reliable_match
Enrique Morel;CHL;President / Governor;no_reliable_match
* Nci;CHL;Board member;no_reliable_match
Ma Delun;CHN;Vice-president / Deputy-governor;no_reliable_match
Liu Tinghuan;CHN;Board member;no_reliable_match
Junbo Xiang;CHN;Vice-president / Deputy-governor;no_reliable_match
Zhang Qingsong;CHN;Vice-president / Deputy-governor;no_reliable_match
Xuan Changneng;CHN;Vice-president / Deputy-governor;no_reliable_match
Zhu Hexin;CHN;Vice-president / Deputy-governor;no_reliable_match
Lu Lei;CHN;Vice-president / Deputy-governor;no_reliable_match
Abdoulaye Fadiga;CIV;President / Governor;no_reliable_match
Abdoulaye Fadig;CIV;President / Governor;no_reliable_match
Philippe Dakourytabley;CIV;President / Governor;no_reliable_match
Philippe Dacourytabley;CIV;President / Governor;no_reliable_match
Philippehenri Dacourytabley;CIV;President / Governor;no_reliable_match
Jean Brou;CIV;President / Governor;no_reliable_match
Jean Compaore;CIV;President / Governor;no_reliable_match
Lansina Bakary;CIV;Board member;no_reliable_match
Kanvaly Diomande;CIV;Board member;no_reliable_match
Robert Julienne;CIV;President / Governor;no_reliable_match
Jean Mamalepot;CMR;President / Governor;no_reliable_match
Yvon Bangui;CMR;President / Governor;no_reliable_match
Christian Joudiou;CMR;President / Governor;no_reliable_match
Philibert Andzembe;CMR;President / Governor;no_reliable_match
Lucas Nchama;CMR;President / Governor;no_reliable_match
Karel Vercruysse;COD;Vice-president / Deputy-governor;no_reliable_match
Jean Anyenga;COD;Vice-president / Deputy-governor;no_reliable_match
Jean Shabani;COD;President / Governor;no_reliable_match
Etienne Kiala;COD;Vice-president / Deputy-governor;no_reliable_match
Charles Nkoso;COD;President / Governor;no_reliable_match
Jules Mondanga;COD;President / Governor;no_reliable_match
Jules Nbagui;COD;President / Governor;no_reliable_match
Omer Mbiye;COD;Vice-president / Deputy-governor;no_reliable_match
Joseph Mushaba;COD;Vice-president / Deputy-governor;no_reliable_match
Joseph Mushasa;COD;President / Governor;no_reliable_match
Casimir Head;COD;Vice-president / Deputy-governor;no_reliable_match
Pierre Syakasighe;COD;President / Governor;no_reliable_match
Godefroid Kabul;COD;Vice-president / Deputy-governor;no_reliable_match
Nestor Diambwana;COD;Vice-president / Deputy-governor;no_reliable_match
Kikata Ngima;COD;Vice-president / Deputy-governor;no_reliable_match
Dieudonne Alimasi;COD;Vice-president / Deputy-governor;no_reliable_match
Jeanmarie Emungu;COD;Vice-president / Deputy-governor;no_reliable_match
Jules Assango;COD;Vice-president / Deputy-governor;no_reliable_match
Malangu Mbuyi;COD;President / Governor;no_reliable_match
Deogratias Nyembo;COD;President / Governor;no_reliable_match
Pambu Pambu;COD;Vice-president / Deputy-governor;no_reliable_match
Andre Nkwaluloki;COD;President / Governor;no_reliable_match
Anderson Samba;COD;Vice-president / Deputy-governor;no_reliable_match
I Asani;COD;Vice-president / Deputy-governor;no_reliable_match
William Pambu;COD;Vice-president / Deputy-governor;no_reliable_match
Jean Shabani;COG;President / Governor;no_reliable_match
Charles Nkosso;COG;President / Governor;no_reliable_match
Jules Mondanga;COG;President / Governor;no_reliable_match
