country,central_bank_name,PName_original,PName,first,last,Position,category_name,category_url
Canada,Bank of Canada,Gerald Bouey,Gerald Bouey,Gerald,Bouey,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Gordon Thiessen,Gordon Thiessen,Gordon,Thiessen,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Governor of the Bank of Canada,Governor of the Bank of Canada,Governor,of the Bank of Canada,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Graham Towers,Graham Towers,Graham,Towers,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,James Elliott Coyne,James Elliott Coyne,James,Elliott Coyne,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,John Crow,John Crow,John,Crow,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Louis Rasminsky,Louis Rasminsky,Louis,Rasminsky,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Mark Carney,Mark Carney,Mark,Carney,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Stephen Poloz,Stephen Poloz,Stephen,Poloz,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Canada,Bank of Canada,Tiff Macklem,Tiff Macklem,Tiff,Macklem,Governor,Governors of the Bank of Canada,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Canada
Chile,Central Bank of Chile,Carlos Matus (politician),Carlos Matus (politician),Carlos,Matus (politician),President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Eduardo Figueroa Geisse,Eduardo Figueroa Geisse,Eduardo,Figueroa Geisse,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Emiliano Figueroa,Emiliano Figueroa,Emiliano,Figueroa,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Enrique Seguel,Enrique Seguel,Enrique,Seguel,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Hernán Felipe Errázuriz,Hernán Felipe Errázuriz,Hernán,Felipe Errázuriz,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Ismael Tocornal,Ismael Tocornal,Ismael,Tocornal,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,José De Gregorio,José De Gregorio,José,De Gregorio,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Manuel Concha Martínez,Manuel Concha Martínez,Manuel,Concha Martínez,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Manuel Trucco,Manuel Trucco,Manuel,Trucco,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Marcial Mora,Marcial Mora,Marcial,Mora,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Mario Marcel,Mario Marcel,Mario,Marcel,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Miguel Kast,Miguel Kast,Miguel,Kast,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Pablo Baraona,Pablo Baraona,Pablo,Baraona,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Sergio de la Cuadra,Sergio de la Cuadra,Sergio,de la Cuadra,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
Chile,Central Bank of Chile,Vittorio Corbo,Vittorio Corbo,Vittorio,Corbo,President,Presidents of the Central Bank of Chile,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Chile
China,People's Bank of China,Cao Juru,Cao Juru,Cao,Juru,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Chen Muhua,Chen Muhua,Chen,Muhua,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Chen Xiyu,Chen Xiyu,Chen,Xiyu,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Dai Xianglong,Dai Xianglong,Dai,Xianglong,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Governor of the People's Bank of China,Governor of the People's Bank of China,Governor,of the People's Bank of China,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Hu Lijiao,Hu Lijiao,Hu,Lijiao,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Lü Peijian,Lü Peijian,Lü,Peijian,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Li Baohua,Li Baohua,Li,Baohua,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Li Guixian,Li Guixian,Li,Guixian,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Nan Hanchen,Nan Hanchen,Nan,Hanchen,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Yi Gang,Yi Gang,Yi,Gang,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Zhou Xiaochuan,Zhou Xiaochuan,Zhou,Xiaochuan,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
China,People's Bank of China,Zhu Rongji,Zhu Rongji,Zhu,Rongji,Governor,Governors of the People's Bank of China,https://en.wikipedia.org/wiki/Category:Governors_of_the_People%27s_Bank_of_China
Costa Rica,Central Bank of Costa Rica,Bernal Jiménez Monge,Bernal Jiménez Monge,Bernal,Jiménez Monge,President,Presidents of the Central Bank of Costa Rica,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Costa_Rica
Costa Rica,Central Bank of Costa Rica,Jorge Rossi Chavarría,Jorge Rossi Chavarría,Jorge,Rossi Chavarría,President,Presidents of the Central Bank of Costa Rica,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Costa_Rica
Croatia,European Central Bank ( Croatian National Bank ),Boris Vujčić,Boris Vujčić,Boris,Vujčić,Governor,Governors of the Croatian National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Croatian_National_Bank
Croatia,European Central Bank ( Croatian National Bank ),Željko Rohatinski,Željko Rohatinski,Željko,Rohatinski,Governor,Governors of the Croatian National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Croatian_National_Bank
Croatia,European Central Bank ( Croatian National Bank ),Marko Škreb,Marko Škreb,Marko,Škreb,Governor,Governors of the Croatian National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Croatian_National_Bank
Cuba,Central Bank of Cuba,Che Guevara,Che Guevara,Che,Guevara,President,President of the Central Bank of Cuba,https://en.wikipedia.org/wiki/Category:President_of_the_Central_Bank_of_Cuba
Cuba,Central Bank of Cuba,Felipe Pazos,Felipe Pazos,Felipe,Pazos,President,President of the Central Bank of Cuba,https://en.wikipedia.org/wiki/Category:President_of_the_Central_Bank_of_Cuba
Cyprus,European Central Bank ( Central Bank of Cyprus ),Athanasios Orphanides,Athanasios Orphanides,Athanasios,Orphanides,Governor,Governors of the Central Bank of Cyprus,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Cyprus
Cyprus,European Central Bank ( Central Bank of Cyprus ),Christodoulos Christodoulou,Christodoulos Christodoulou,Christodoulos,Christodoulou,Governor,Governors of the Central Bank of Cyprus,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Cyprus
Cyprus,European Central Bank ( Central Bank of Cyprus ),Chrystalla Georghadji,Chrystalla Georghadji,Chrystalla,Georghadji,Governor,Governors of the Central Bank of Cyprus,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Cyprus
Cyprus,European Central Bank ( Central Bank of Cyprus ),Panicos O. Demetriades,Panicos O. Demetriades,Panicos,O. Demetriades,Governor,Governors of the Central Bank of Cyprus,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Cyprus
Czech Republic,Czech National Bank,Aleš Michl,Aleš Michl,Aleš,Michl,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Czech Republic,Czech National Bank,Jiří Rusnok,Jiří Rusnok,Jiří,Rusnok,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Czech Republic,Czech National Bank,Josef Tošovský,Josef Tošovský,Josef,Tošovský,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Czech Republic,Czech National Bank,Miroslav Singer,Miroslav Singer,Miroslav,Singer,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Czech Republic,Czech National Bank,Pavel Kysilka,Pavel Kysilka,Pavel,Kysilka,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Czech Republic,Czech National Bank,Zdeněk Tůma,Zdeněk Tůma,Zdeněk,Tůma,Governor,Governors of the Czech National Bank,https://en.wikipedia.org/wiki/Category:Governors_of_the_Czech_National_Bank
Denmark,Danmarks Nationalbank,Bodil Nyboe Andersen,Bodil Nyboe Andersen,Bodil,Nyboe Andersen,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Christian Kettel Thomsen,Christian Kettel Thomsen,Christian,Kettel Thomsen,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Christian Klingberg,Christian Klingberg,Christian,Klingberg,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Frederik Carl Gram Schrøder,Frederik Carl Gram Schrøder,Frederik,Carl Gram Schrøder,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Lauritz Nicolai Hvidt,Lauritz Nicolai Hvidt,Lauritz,Nicolai Hvidt,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Ole Hansen (politician),Ole Hansen (politician),Ole,Hansen (politician),Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Peter Georg Bang,Peter Georg Bang,Peter,Georg Bang,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Signe Krogstrup,Signe Krogstrup,Signe,Krogstrup,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Denmark,Danmarks Nationalbank,Wilhelm Sponneck,Wilhelm Sponneck,Wilhelm,Sponneck,Governor,Governors of the Bank of Denmark,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Denmark
Dominican Republic,Central Bank of the Dominican Republic,Bernardo Vega,Bernardo Vega,Bernardo,Vega,Governor,Governors of the Central Bank of the Dominican Republic,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Dominican_Republic
Dominican Republic,Central Bank of the Dominican Republic,Guillermo Caram Herrera,Guillermo Caram Herrera,Guillermo,Caram Herrera,Governor,Governors of the Central Bank of the Dominican Republic,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Dominican_Republic
Dominican Republic,Central Bank of the Dominican Republic,Héctor Valdez Albizu,Héctor Valdez Albizu,Héctor,Valdez Albizu,Governor,Governors of the Central Bank of the Dominican Republic,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Dominican_Republic
Dominican Republic,Central Bank of the Dominican Republic,Mario Read Vittini,Mario Read Vittini,Mario,Read Vittini,Governor,Governors of the Central Bank of the Dominican Republic,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Dominican_Republic
Egypt,Central Bank of Egypt,Elwin Palmer,Elwin Palmer,Elwin,Palmer,Governor,Governors of the Central Bank of Egypt,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Egypt
Egypt,Central Bank of Egypt,Farouk El Okdah,Farouk El Okdah,Farouk,El Okdah,Governor,Governors of the Central Bank of Egypt,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Egypt
Egypt,Central Bank of Egypt,Frederick Leith-Ross,Frederick Leith-Ross,Frederick,Leith-Ross,Governor,Governors of the Central Bank of Egypt,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Egypt
Egypt,Central Bank of Egypt,Hassan Abdullah,Hassan Abdullah,Hassan,Abdullah,Governor,Governors of the Central Bank of Egypt,https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Egypt
Estonia,European Central Bank ( Bank of Estonia ),Andres Lipstok,Andres Lipstok,Andres,Lipstok,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Ardo Hansson,Ardo Hansson,Ardo,Hansson,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Christian Kaarna,Christian Kaarna,Christian,Kaarna,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Eduard Aule,Eduard Aule,Eduard,Aule,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Jüri Jaakson,Jüri Jaakson,Jüri,Jaakson,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Leo Sepp,Leo Sepp,Leo,Sepp,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Madis Müller,Madis Müller,Madis,Müller,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Mihkel Pung,Mihkel Pung,Mihkel,Pung,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Rein Otsason,Rein Otsason,Rein,Otsason,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Siim Kallas,Siim Kallas,Siim,Kallas,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Estonia,European Central Bank ( Bank of Estonia ),Vahur Kraft,Vahur Kraft,Vahur,Kraft,Chair,Chairmen of the Bank of Estonia,https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Bank_of_Estonia
Eswatini,Central Bank of Eswatini,Majozi Sithole,Majozi Sithole,Majozi,Sithole,Governor,Governors of Central Bank of Eswatini,https://en.wikipedia.org/wiki/Category:Governors_of_Central_Bank_of_Eswatini
Eswatini,Central Bank of Eswatini,Martin Dlamini,Martin Dlamini,Martin,Dlamini,Governor,Governors of Central Bank of Eswatini,https://en.wikipedia.org/wiki/Category:Governors_of_Central_Bank_of_Eswatini
Ethiopia,National Bank of Ethiopia,Eyob Tekalign,Eyob Tekalign,Eyob,Tekalign,Governor,Governors of National Bank of Ethiopia,https://en.wikipedia.org/wiki/Category:Governors_of_National_Bank_of_Ethiopia
Ethiopia,National Bank of Ethiopia,George Blowers,George Blowers,George,Blowers,Governor,Governors of National Bank of Ethiopia,https://en.wikipedia.org/wiki/Category:Governors_of_National_Bank_of_Ethiopia
Ethiopia,National Bank of Ethiopia,George Rea,George Rea,George,Rea,Governor,Governors of National Bank of Ethiopia,https://en.wikipedia.org/wiki/Category:Governors_of_National_Bank_of_Ethiopia
Ethiopia,National Bank of Ethiopia,Mamo Mihretu,Mamo Mihretu,Mamo,Mihretu,Governor,Governors of National Bank of Ethiopia,https://en.wikipedia.org/wiki/Category:Governors_of_National_Bank_of_Ethiopia
Ethiopia,National Bank of Ethiopia,Teklewold Atnafu,Teklewold Atnafu,Teklewold,Atnafu,Governor,Governors of National Bank of Ethiopia,https://en.wikipedia.org/wiki/Category:Governors_of_National_Bank_of_Ethiopia
Fiji,Reserve Bank of Fiji,Jone Kubuabola,Jone Kubuabola,Jone,Kubuabola,Governor,Governors of the Reserve Bank of Fiji,https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Fiji
Fiji,Reserve Bank of Fiji,Savenaca Siwatibau,Savenaca Siwatibau,Savenaca,Siwatibau,Governor,Governors of the Reserve Bank of Fiji,https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Fiji
Finland,European Central Bank ( Bank of Finland ),Ahti Karjalainen,Ahti Karjalainen,Ahti,Karjalainen,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),August Ramsay,August Ramsay,August,Ramsay,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Erkki Liikanen,Erkki Liikanen,Erkki,Liikanen,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Johan Wilhelm Rangell,Johan Wilhelm Rangell,Johan,Wilhelm Rangell,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Klaus Waris,Klaus Waris,Klaus,Waris,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Matti Vanhala,Matti Vanhala,Matti,Vanhala,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Mauno Koivisto,Mauno Koivisto,Mauno,Koivisto,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Olli Rehn,Olli Rehn,Olli,Rehn,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Otto Stenroth,Otto Stenroth,Otto,Stenroth,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Rainer von Fieandt,Rainer von Fieandt,Rainer,von Fieandt,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Risto Ryti,Risto Ryti,Risto,Ryti,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Rolf Kullberg,Rolf Kullberg,Rolf,Kullberg,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Sakari Tuomioja,Sakari Tuomioja,Sakari,Tuomioja,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Sirkka Hämäläinen,Sirkka Hämäläinen,Sirkka,Hämäläinen,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Finland,European Central Bank ( Bank of Finland ),Theodor Wegelius,Theodor Wegelius,Theodor,Wegelius,Governor,Governors of the Bank of Finland,https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Finland
Georgia,National Bank of Georgia,David Amaglobeli,David Amaglobeli,David,Amaglobeli,President,Presidents of the National Bank of Georgia,https://en.wikipedia.org/wiki/Category:Presidents_of_the_National_Bank_of_Georgia
Georgia,National Bank of Georgia,Giorgi Kadagidze,Giorgi Kadagidze,Giorgi,Kadagidze,President,Presidents of the National Bank of Georgia,https://en.wikipedia.org/wiki/Category:Presidents_of_the_National_Bank_of_Georgia
Georgia,National Bank of Georgia,Koba Gvenetadze,Koba Gvenetadze,Koba,Gvenetadze,President,Presidents of the National Bank of Georgia,https://en.wikipedia.org/wiki/Category:Presidents_of_the_National_Bank_of_Georgia
Georgia,National Bank of Georgia,Roman Gotsiridze,Roman Gotsiridze,Roman,Gotsiridze,President,Presidents of the National Bank of Georgia,https://en.wikipedia.org/wiki/Category:Presidents_of_the_National_Bank_of_Georgia
Germany,European Central Bank ( Deutsche Bundesbank ),Axel A. Weber,Axel A. Weber,Axel,A. Weber,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Ernst Welteke,Ernst Welteke,Ernst,Welteke,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Hans Tietmeyer,Hans Tietmeyer,Hans,Tietmeyer,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Helmut Schlesinger,Helmut Schlesinger,Helmut,Schlesinger,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Jürgen Stark,Jürgen Stark,Jürgen,Stark,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Jens Weidmann,Jens Weidmann,Jens,Weidmann,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Joachim Nagel,Joachim Nagel,Joachim,Nagel,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Karl Blessing,Karl Blessing,Karl,Blessing,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Karl Klasen,Karl Klasen,Karl,Klasen,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Karl Otto Pöhl,Karl Otto Pöhl,Karl,Otto Pöhl,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Germany,European Central Bank ( Deutsche Bundesbank ),Otmar Emminger,Otmar Emminger,Otmar,Emminger,President,Presidents of the Deutsche Bundesbank,https://en.wikipedia.org/wiki/Category:Presidents_of_the_Deutsche_Bundesbank
Ghana,Bank of Ghana,Albert Adomakoh,Albert Adomakoh,Albert,Adomakoh,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,Alex. E.K. Ashiabor,Alex. E.K. Ashiabor,Alex.,E.K. Ashiabor,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,Alfred Eggleston,Alfred Eggleston,Alfred,Eggleston,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,Amon Nikoi,Amon Nikoi,Amon,Nikoi,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,Ernest Addison,Ernest Addison,Ernest,Addison,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,G.K. Agama,G.K. Agama,G.K.,Agama,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,Hubert Kessels,Hubert Kessels,Hubert,Kessels,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,J. H. Frimpong-Ansah,J. H. Frimpong-Ansah,J.,H. Frimpong-Ansah,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
Ghana,Bank of Ghana,J. S. Addo,J. S. Addo,J.,S. Addo,Governor,Governors of Bank of Ghana,https://en.wikipedia.org/wiki/Category:Governors_of_Bank_of_Ghana
