country,central_bank_name,wikipedia_url,official_website,board_page_url,board_page_title,board_page_discovery_method
Abkhazia *,National Bank of the Republic of Abkhazia,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia,https://nb-ra.org/en/,https://nb-ra.org/en/governing-board-of-the-bank-of-abkhazia.html,National Bank of the Republic of Abkhazia : The Bank of Abkhazia Information - Organisational structure,homepage_link
Afghanistan,Da Afghanistan Bank,https://en.wikipedia.org/wiki/Da_Afghanistan_Bank,https://www.dab.gov.af/,https://www.dab.gov.af/Executive-Board,EXECUTIVE BOARD | Da Afghanistan Bank,homepage_link
Albania,Bank of Albania,https://en.wikipedia.org/wiki/Bank_of_Albania,https://www.bankofalbania.org/,,,
Algeria,Bank of Algeria,https://en.wikipedia.org/wiki/Bank_of_Algeria,http://www.bank-of-algeria.dz/,,,
Angola,National Bank of Angola,https://en.wikipedia.org/wiki/National_Bank_of_Angola,https://www.bna.ao/,,,
