PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Manuel Piedad dos Santos Junior;Manuel Junior;AGO;manuel;junior;AGO;;;;;0;0;;;;;;;;;
Jose Lima Massano;Jose Massano;AGO;jose;massano;AGO;;;;;2;0;;;;;;;;;
Ricardo Abreu;Ricardo Abreu;AGO;ricardo;abreu;AGO;;;;;1;0;;;;;;;;;
Manuel António Tiago Dias;Manuel Dias;AGO;manuel;dias;AGO;;;;;1;0;;;;;;;;;
Manuel António Tiago Dias;Manuel Dias;AGO;manuel;dias;AGO;;;;;0;0;;;;;;;;;
Ricardo Daniel Queirós SandàoViegas D’Abreu;Ricardo Dabreu;AGO;ricardo;dabreu;AGO;;;;;1;0;;;;;;;;;
José de Lima Massano;Jose Massano;AGO;jose;massano;AGO;;;;;2;0;;;;;;;;;
Valter Filipe Duarte da Silva;Valter Silva;AGO;valter;silva;AGO;;;;;2;0;;;;;;;;;
José F. Leitao de Carvalho;Jose Carvalho;AGO;jose;carvalho;AGO;;;;;2;0;;;;;;;;;
Augusto Teixeira de Matos;Augusto Matos;AGO;augusto;matos;AGO;;;;;2;0;;;;;;;;;
António Inácio;Antonio Inacio;AGO;antonio;inacio;AGO;;;;;2;0;;;;;;;;;
Pedro Cunha Neto;Pedro Neto;AGO;pedro;neto;AGO;;;;;2;0;;;;;;;;;
Sebastião Bastos Lavrador;Sebastiao Lavrador;AGO;sebastiao;lavrador;AGO;;;;;2;0;;;;;;;;;
Generoso Hermenegildo de Almeida;Generoso Almeida;AGO;generoso;almeida;AGO;;;;;2;0;;;;;;;;;
António Gomes Furtado;Antonio Furtado;AGO;antonio;furtado;AGO;;;;;2;0;;;;;;;;;
Sebastião Bastos Lavrador;Sebastiao Lavrador;AGO;sebastiao;lavrador;AGO;;;;;2;0;;;;;;;;;
Celestino Eliseu Kanda;Celestino Kanda;AGO;celestino;kanda;AGO;;;;;2;0;;;;;;;;;
Marinela Amaral;Marinela Amaral;AGO;marinela;amaral;AGO;;;;;0;1;;;;;;;;;
Amadeu de Jesus Castelhano Maurício;Amadeu Mauricio;AGO;amadeu;mauricio;AGO;;;;;1;0;;;;;;;;;
Rui Miguen de Oliveira;Rui Oliveira;AGO;rui;oliveira;AGO;;;;;0;0;;;;;;;;;
Abrahão Pio dos Santos Gourgel;Abrahao Gourgel;AGO;abrahao;gourgel;AGO;;;;;2;0;;;;;;;;;
Walter Silva;Walter Silva;AGO;walter;silva;AGO;;;;;0;0;;;;;;;;;
Suzana Monteiro;Suzana Monteiro;AGO;suzana;monteiro;AGO;;;;;0;1;;;;;;;;;
Kostandin Boshnjaku;Kostandin Boshnjaku;ALB;kostandin;boshnjaku;ALB;;;;;2;0;;;;;;;;;
Spiro Bakalli;Spiro Bakalli;ALB;spiro;bakalli;ALB;;;;;2;0;;;;;;;;;
Abdyl Këllezi;Abdyl Kellezi;ALB;abdyl;kellezi;ALB;;;;;2;0;;;;;;;;;
Qirjako Mihali;Qirjako Mihali;ALB;qirjako;mihali;ALB;;;;;2;0;;;;;;;;;
Kostaq Postoli;Kostaq Postoli;ALB;kostaq;postoli;ALB;;;;;2;0;;;;;;;;;
Andrea Nako;Andrea Nako;ALB;andrea;nako;ALB;;;;;2;0;;;;;;;;;
Niko Gjyzari;Niko Gjyzari;ALB;niko;gjyzari;ALB;;;;;2;0;;;;;;;;;
Dylber Vrioni;Dylber Vrioni;ALB;dylber;vrioni;ALB;;;;;2;0;;;;;;;;;
Ksenofon Krisafi;Ksenofon Krisafi;ALB;ksenofon;krisafi;ALB;;;;;0;0;;;;;;;;;
Sulo Hadëri;Sulo Haderi;ALB;sulo;haderi;ALB;;;;;0;0;;;;;;;;;
Ardian Fullani;Ardian Fullani;ALB;ardian;fullani;ALB;;;;;2;0;;;;;;;;;
Shkëlqim Cani;Shklqim Cani;ALB;shklqim;cani;ALB;;;;;2;0;;;;;;;;;
Anastas Angjeli;Anastas Angjeli;ALB;anastas;angjeli;ALB;;;;;0;0;;;;;;;;;
Ilir Hoti;Ilir Hoti;ALB;ilir;hoti;ALB;;;;;2;0;;;;;;;;;
Ermelinda Meksi;Ermelinda Meksi;ALB;ermelinda;meksi;ALB;;;;;0;1;;;;;;;;;
Tonin Kola;Tonin Kola;ALB;tonin;kola;ALB;;;;;0;0;;;;;;;;;
Fatos Ibrahimi;Fatos Ibrahimi;ALB;fatos;ibrahimi;ALB;;;;;1;0;;;;;;;;;
Petraq Milo;Petraq Milo;ALB;petraq;milo;ALB;;;;;0;0;;;;;;;;;
Luljeta Minxhozi;Luljeta Minxhozi;ALB;luljeta;minxhozi;ALB;;;;;1;1;;;;;;;;;
Drini Salko;Drini Salko;ALB;drini;salko;ALB;;;;;0;0;;;;;;;;;
Tonin Kola;Tonin Kola;ALB;tonin;kola;ALB;;;;;0;0;;;;;;;;;
Bajram Muça;Bajram Muca;ALB;bajram;muca;ALB;;;;;0;0;;;;;;;;;
Arjan Kadareja;Arjan Kadareja;ALB;arjan;kadareja;ALB;;;;;0;0;;;;;;;;;
Arben Malaj;Arben Malaj;ALB;arben;malaj;ALB;;;;;0;0;;;;;;;;;
Kristaq Luniku;Kristaq Luniku;ALB;kristaq;luniku;ALB;;;;;2;0;;;;;;;;;
Benet Beci;Benet Beci;ALB;benet;beci;ALB;;;;;2;0;;;;;;;;;
Gent Sejko;Gent Sejko;ALB;gent;sejko;ALB;;;;;2;0;;;;;;;;;
Elisabeta Gjoni;Elisabeta Gjoni;ALB;elisabeta;gjoni;ALB;;;;;1;1;;;;;;;;;
Natasha Ahmetaj;Natasha Ahmetaj;ALB;natasha;ahmetaj;ALB;;;;;0;1;;;;;;;;;
Andis Harasani;Andis Harasani;ALB;andis;harasani;ALB;;;;;0;0;;;;;;;;;
Luljeta Minxhozi;Luljeta Minxhozi;ALB;luljeta;minxhozi;ALB;;;;;1;1;;;;;;;;;
Zeqir Lika;Zeqir Lika;ALB;zeqir;lika;ALB;;;;;2;0;;;;;;;;;
Llazar Gjika;Llazar Gjika;ALB;llazar;gjika;ALB;;;;;2;0;;;;;;;;;
Kamber Myftari;Kamber Myftari;ALB;kamber;myftari;ALB;;;;;2;0;;;;;;;;;
Qamil Tusha;Qamil Tusha;ALB;qamil;tusha;ALB;;;;;2;0;;;;;;;;;
